zipcode,HUC8,HUC4,triplet1,triplet2,triplet3,triplet1last,triplet2last,triplet3last
28466,3030007,303,3030007,3030005,3030006,0007,0005,0006
28508,3030007,303,3030007,3030005,3030006,0007,0005,0006
28518,3030007,303,3030007,3030005,3030006,0007,0005,0006
28521,3030007,303,3030007,3030005,3030006,0007,0005,0006
28102,3040201,304,3040201,3040202,3040204,0201,0202,0204
28119,3040201,304,3040201,3040202,3040204,0201,0202,0204
28330,3040201,304,3040201,3040202,3040204,0201,0202,0204
28379,3040201,304,3040201,3040202,3040204,0201,0202,0204
29501,3040201,304,3040201,3040202,3040204,0201,0202,0204
29506,3040201,304,3040201,3040202,3040204,0201,0202,0204
29512,3040201,304,3040201,3040202,3040204,0201,0202,0204
29520,3040201,304,3040201,3040202,3040204,0201,0202,0204
29532,3040201,304,3040201,3040202,3040204,0201,0202,0204
29540,3040201,304,3040201,3040202,3040204,0201,0202,0204
29584,3040201,304,3040201,3040202,3040204,0201,0202,0204
29592,3040201,304,3040201,3040202,3040204,0201,0202,0204
29593,3040201,304,3040201,3040202,3040204,0201,0202,0204
29596,3040201,304,3040201,3040202,3040204,0201,0202,0204
29709,3040201,304,3040201,3040202,3040204,0201,0202,0204
29741,3040201,304,3040201,3040202,3040204,0201,0202,0204
29009,3040202,304,3040202,3040201,3040205,0202,0201,0205
29069,3040202,304,3040202,3040201,3040205,0202,0201,0205
29079,3040202,304,3040202,3040201,3040205,0202,0201,0205
29530,3040202,304,3040202,3040201,3040205,0202,0201,0205
29591,3040202,304,3040202,3040201,3040205,0202,0201,0205
27281,3040203,304,3040203,3040201,3040204,0203,0201,0204
28340,3040203,304,3040203,3040201,3040204,0203,0201,0204
28358,3040203,304,3040203,3040201,3040204,0203,0201,0204
28359,3040203,304,3040203,3040201,3040204,0203,0201,0204
28360,3040203,304,3040203,3040201,3040204,0203,0201,0204
28362,3040203,304,3040203,3040201,3040204,0203,0201,0204
28369,3040203,304,3040203,3040201,3040204,0203,0201,0204
28372,3040203,304,3040203,3040201,3040204,0203,0201,0204
28373,3040203,304,3040203,3040201,3040204,0203,0201,0204
28375,3040203,304,3040203,3040201,3040204,0203,0201,0204
28377,3040203,304,3040203,3040201,3040204,0203,0201,0204
28378,3040203,304,3040203,3040201,3040204,0203,0201,0204
28386,3040203,304,3040203,3040201,3040204,0203,0201,0204
28438,3040203,304,3040203,3040201,3040204,0203,0201,0204
28439,3040203,304,3040203,3040201,3040204,0203,0201,0204
28343,3040204,304,3040204,3040206,3040203,0204,0206,0203
28351,3040204,304,3040204,3040206,3040203,0204,0206,0203
28352,3040204,304,3040204,3040206,3040203,0204,0206,0203
29519,3040204,304,3040204,3040206,3040203,0204,0206,0203
29543,3040204,304,3040204,3040206,3040203,0204,0206,0203
29544,3040204,304,3040204,3040206,3040203,0204,0206,0203
29567,3040204,304,3040204,3040206,3040203,0204,0206,0203
29589,3040204,304,3040204,3040206,3040203,0204,0206,0203
29001,3040205,304,3040205,3040202,3040201,0205,0202,0201
29046,3040205,304,3040205,3040202,3040201,0205,0202,0201
29051,3040205,304,3040205,3040202,3040201,0205,0202,0201
29104,3040205,304,3040205,3040202,3040201,0205,0202,0201
29111,3040205,304,3040205,3040202,3040201,0205,0202,0201
29150,3040205,304,3040205,3040202,3040201,0205,0202,0201
29152,3040205,304,3040205,3040202,3040201,0205,0202,0201
29153,3040205,304,3040205,3040202,3040201,0205,0202,0201
29162,3040205,304,3040205,3040202,3040201,0205,0202,0201
29556,3040205,304,3040205,3040202,3040201,0205,0202,0201
29580,3040205,304,3040205,3040202,3040201,0205,0202,0201
28420,3040206,304,3040206,3040203,3040204,0206,0203,0204
28424,3040206,304,3040206,3040203,3040204,0206,0203,0204
28432,3040206,304,3040206,3040203,3040204,0206,0203,0204
28442,3040206,304,3040206,3040203,3040204,0206,0203,0204
28450,3040206,304,3040206,3040203,3040204,0206,0203,0204
28452,3040206,304,3040206,3040203,3040204,0206,0203,0204
28455,3040206,304,3040206,3040203,3040204,0206,0203,0204
28472,3040206,304,3040206,3040203,3040204,0206,0203,0204
29526,3040206,304,3040206,3040203,3040204,0206,0203,0204
29588,3040206,304,3040206,3040203,3040204,0206,0203,0204
29572,3040208,304,3040208,3040206,3040204,0208,0206,0204
29582,3040208,304,3040208,3040206,3040204,0208,0206,0204
29803,3060106,306,3060106,3060105,3060107,0106,0105,0107
29809,3060106,306,3060106,3060105,3060107,0106,0105,0107
29816,3060106,306,3060106,3060105,3060107,0106,0105,0107
29828,3060106,306,3060106,3060105,3060107,0106,0105,0107
29829,3060106,306,3060106,3060105,3060107,0106,0105,0107
29831,3060106,306,3060106,3060105,3060107,0106,0105,0107
29834,3060106,306,3060106,3060105,3060107,0106,0105,0107
29836,3060106,306,3060106,3060105,3060107,0106,0105,0107
29841,3060106,306,3060106,3060105,3060107,0106,0105,0107
29842,3060106,306,3060106,3060105,3060107,0106,0105,0107
29851,3060106,306,3060106,3060105,3060107,0106,0105,0107
30809,3060106,306,3060106,3060105,3060107,0106,0105,0107
30812,3060106,306,3060106,3060105,3060107,0106,0105,0107
30813,3060106,306,3060106,3060105,3060107,0106,0105,0107
30901,3060106,306,3060106,3060105,3060107,0106,0105,0107
30904,3060106,306,3060106,3060105,3060107,0106,0105,0107
30905,3060106,306,3060106,3060105,3060107,0106,0105,0107
30906,3060106,306,3060106,3060105,3060107,0106,0105,0107
30907,3060106,306,3060106,3060105,3060107,0106,0105,0107
30909,3060106,306,3060106,3060105,3060107,0106,0105,0107
30912,3060106,306,3060106,3060105,3060107,0106,0105,0107
30456,3060108,306,3060108,3060106,3060109,0108,0106,0109
30818,3060108,306,3060108,3060106,3060109,0108,0106,0109
29922,3060109,306,3060109,3060110,3060204,0109,0110,0204
29939,3060109,306,3060109,3060110,3060204,0109,0110,0204
29943,3060109,306,3060109,3060110,3060204,0109,0110,0204
31303,3060109,306,3060109,3060110,3060204,0109,0110,0204
31326,3060109,306,3060109,3060110,3060204,0109,0110,0204
31329,3060109,306,3060109,3060110,3060204,0109,0110,0204
31407,3060109,306,3060109,3060110,3060204,0109,0110,0204
31421,3060109,306,3060109,3060110,3060204,0109,0110,0204
29915,3060110,306,3060110,3060109,3060204,0110,0109,0204
30434,3060201,306,3060201,3060202,3060203,0201,0202,0203
30441,3060201,306,3060201,3060202,3060203,0201,0202,0203
30477,3060201,306,3060201,3060202,3060203,0201,0202,0203
30803,3060201,306,3060201,3060202,3060203,0201,0202,0203
30810,3060201,306,3060201,3060202,3060203,0201,0202,0203
30820,3060201,306,3060201,3060202,3060203,0201,0202,0203
30822,3060201,306,3060201,3060202,3060203,0201,0202,0203
31018,3060201,306,3060201,3060202,3060203,0201,0202,0203
31045,3060201,306,3060201,3060202,3060203,0201,0202,0203
30415,3060202,306,3060202,3060203,3060204,0202,0203,0204
30449,3060202,306,3060202,3060203,3060204,0202,0203,0204
30455,3060202,306,3060202,3060203,3060204,0202,0203,0204
30461,3060202,306,3060202,3060203,3060204,0202,0203,0204
31308,3060202,306,3060202,3060203,3060204,0202,0203,0204
30414,3060203,306,3060203,3060202,3060204,0203,0202,0204
30417,3060203,306,3060203,3060202,3060204,0203,0202,0204
30423,3060203,306,3060203,3060202,3060204,0203,0202,0204
30429,3060203,306,3060203,3060202,3060204,0203,0202,0204
30451,3060203,306,3060203,3060202,3060204,0203,0202,0204
30452,3060203,306,3060203,3060202,3060204,0203,0202,0204
30460,3060203,306,3060203,3060202,3060204,0203,0202,0204
31309,3060204,306,3060204,3060203,3060202,0204,0203,0202
31318,3060204,306,3060204,3060203,3060202,0204,0203,0202
31320,3060204,306,3060204,3060203,3060202,0204,0203,0202
31323,3060204,306,3060204,3060203,3060202,0204,0203,0202
31324,3060204,306,3060204,3060203,3060202,0204,0203,0202
31327,3060204,306,3060204,3060203,3060202,0204,0203,0202
31333,3060204,306,3060204,3060203,3060202,0204,0203,0202
31406,3060204,306,3060204,3060203,3060202,0204,0203,0202
31409,3060204,306,3060204,3060203,3060202,0204,0203,0202
31410,3060204,306,3060204,3060203,3060202,0204,0203,0202
31411,3060204,306,3060204,3060203,3060202,0204,0203,0202
30454,3070102,307,3070102,3070101,3070103,0102,0101,0103
