NAME,lake,st2,lat,lon,area
Catahoula,Mitten Lake,LA,31.2712884706617,-91.9589986549412,0.15413873181156
Rapides,Lake Tyler,LA,31.3641634134969,-92.294758469163,0.0224681766097787
Catahoula,Whites Lake,LA,31.2881878500495,-91.8675425112379,0.132252409190107
Concordia,Silver Lakes,LA,31.1326621238831,-91.7035443825674,0.221253382961123
Rapides,Tarkill Lake,LA,31.2030238447821,-92.3038155544642,0.291316262360591
Rapides,Bayou Maria Basin,LA,31.3111384550416,-92.3929626093522,0.95438373077926
Avoyelles,Lac Didier,LA,31.1172725617834,-91.8755427747482,0.335729332390131
Avoyelles,Lac Volee,LA,31.1946646731243,-91.8436730450264,0.248415932243415
Rapides,Rock Island Lake,LA,31.2589574896483,-92.3617304255294,0.357367978918181
Avoyelles,Lac A Madame Lee,LA,31.2451893876652,-91.8460020475713,0.0815748180758243
Avoyelles,Lac Moreau,LA,31.2395186121023,-91.9522956324123,0.0213166391980297
Rapides,Tanyard Lake,LA,31.2530855420898,-92.3532271065887,0.208732215885615
Avoyelles,Lac Poisson Arme,LA,31.2390812839326,-91.8708645901522,0.0348245104411588
Avoyelles,Lac Calebasse,LA,31.2188114726304,-91.8585941630491,0.0711799231586532
Avoyelles,Petite Baie,LA,31.224633243245,-91.8379188015627,0.0795657704481925
Avoyelles,Lac Sainte Agnes,LA,31.2114842802157,-91.9600568375192,0.922272490553742
Avoyelles,Mouillere A Dehors,LA,31.2314826349942,-91.8891923197253,0.0378815443972033
Concordia,Grand Bay,LA,31.0849950493956,-91.6948525930273,0.620441478939914
Concordia,Moreau Lake,LA,31.0871566205289,-91.7076749897657,0.161494319641104
Avoyelles,Premier Lac,LA,31.111134901566,-91.9973155527586,6.95223548324647
Avoyelles,Jeff Lake,LA,31.1776055783909,-91.7184496096028,3.49143838819274
West Feliciana,Timber Lake,LA,31.0280067838541,-91.7162057237761,0.0342456436776065
Concordia,Goose Lake,LA,31.1334521869612,-91.6795221925834,0.0308655481601234
Catahoula,Muscadine Bayou,LA,31.3172910575538,-91.8865751999943,0.0108972502123645
West Feliciana,Quarter Lake,LA,31.0305288394724,-91.6757996866045,0.00845391383446481
Avoyelles,Baie Ronde,LA,31.1893627624794,-91.7540479547779,0.138050695108222
Catahoula,Fish Hole,LA,31.3096712606469,-91.9046677765985,0.0198057789163772
Avoyelles,Lac Bec Croche,LA,31.0955945348403,-91.9498485942182,0.0053781772305066
Avoyelles,Long Lake,LA,31.053434723257,-91.7278412353834,0.139969957273349
Catahoula,Swan Lake,LA,31.3285234251979,-91.9992632569999,0.0824991562005345
Avoyelles,Martin Bay,LA,31.0431397438316,-91.7336811804942,0.307790146899626
Concordia,Flat Lake,LA,31.0451183429051,-91.7042970530734,0.290428270465014
Catahoula,Wise Lake,LA,31.3112757497253,-91.8851000232329,0.260496195721177
Catahoula,Devils Lake,LA,31.3461063461384,-91.9177229473878,0.050869597532847
Concordia,Prairie Lake,LA,31.0521515286985,-91.6019690754415,0.0344513511533824
Avoyelles,Lac Saulière,LA,31.1893329387529,-91.9842405294063,0.262601017752687
Avoyelles,Central Slough,LA,31.0582901665284,-91.9922015639085,0.0445862417933569
Avoyelles,Lac Ophelia,LA,31.2142598432235,-91.8845575024742,0.90923899788666
Rapides,Pierson Lake,LA,31.3254670333969,-92.4489781256744,0.0528106972142659
Rapides,Big Lake,LA,31.209907519707,-92.3193815862865,0.508275478868485
Catahoula,Big Hole,LA,31.3079232257301,-91.928924121653,0.0072526222722791
Catahoula,Walsh Lake,LA,31.3396146860074,-91.9013247791865,0.0553424460310413
Catahoula,Lorran Lake,LA,31.2778093004545,-91.8404689826722,0.215974209057279
Concordia,Hog Pen Lake,LA,31.1664525238581,-91.6680869535775,0.0723217930226992
Rapides,Lockhart Lake,LA,31.2060420099699,-92.3108949694855,0.0120809090969505
Avoyelles,Champignol Lake,LA,31.1834977764828,-92.1808196248573,0.00892814702025037
Avoyelles,Lac De Johnson,LA,31.2056460803707,-92.1015230312174,0.512581630645667
Catahoula,Round Brake,LA,31.3694053034207,-91.9176649156525,0.0965023446043128
Catahoula,Widow Lake,LA,31.2824012695746,-91.8529759106871,0.0321700678894272
Catahoula,Delta Brake,LA,31.3718150783866,-91.9142248789271,0.124098456980315
Avoyelles,Reynolds Lake,LA,31.1911644186749,-92.2049244130795,0.720527850247798
Rapides,Hog Lake,LA,31.1821678422871,-92.2698033808797,1.0199522406251
Rapides,Island Bayou,LA,31.3640456043423,-92.1455381845535,0.000552473204370312
Avoyelles,Bordelon Lake,LA,31.1658795703654,-92.1983022855463,0.0703545333928933
Concordia,Lost Lake,LA,31.1482816617253,-91.6724845656796,0.0191631743776201
Avoyelles,Vasher Prairie,LA,31.287375610465,-92.2247680687402,0.000772690700420478
Avoyelles,Cannon Lake,LA,31.1755039443312,-92.1918543864329,0.0228567962454195
Avoyelles,Lac Bois Sec,LA,31.1640902063015,-92.0273355043058,0.0425692571984002
Avoyelles,Westcut Lake,LA,31.2611759785768,-91.9275238530313,0.574850205365903
Rapides,Beaver Lake,LA,31.279124550813,-92.3885382581196,0.364514151973833
Avoyelles,Lac Grand Bayou,LA,31.1462200302671,-91.9745729624797,0.439164963932623
Concordia,Lower Sunk Lake,LA,31.1477824086711,-91.6966025313855,2.83399942117481
Avoyelles,Blue Hole Lake,LA,31.2864876241558,-91.9227663679813,0.0326573330636069
Avoyelles,Jimmy Lake,LA,31.2906844585785,-91.9058037186584,0.0807274041605807
Avoyelles,Lac Amelia,LA,31.2783489294691,-91.9317357139389,0.0852936635171715
St. Mary,Lake Palourde,LA,29.7214237206227,-91.1381834885636,43.5405896449073
Lafourche,Lake Long,LA,29.5838814902282,-90.5614951385384,3.68478848493285
Grant,Lind Lake,LA,31.5367302956354,-92.3371871297716,0.0833636561603535
Grant,Blue Hole Slough,LA,31.525505996661,-92.2857408847,0.00619900752664778
Grant,Hardwater Lake,LA,31.516030714405,-92.290674429739,2.09659185302115
Catahoula,Hogpen Slough,LA,31.6103340915031,-91.9345248147338,0.0529055372570056
Grant,Duck Lake,LA,31.5315990617,-92.2800524877337,0.00879114540473658
LaSalle,Woodward Lake,LA,31.6266683962201,-92.3424347514701,0.010922500677531
LaSalle,Round Lake,LA,31.638811328303,-92.3624199382134,0.0205734049071169
Grant,Pine Lake,LA,31.6947509498048,-92.3640774158118,0.00904724492386671
Catahoula,Sandy Lake,LA,31.690029658428,-91.8972846146176,0.345379634974491
Catahoula,Elm Lake,LA,31.6248660446343,-91.8921686263303,0.0443993387069785
Grant,Catfish Prairie,LA,31.4749426014591,-92.2143439587854,0.5268930765771
Grant,Goose Lake,LA,31.5313376010165,-92.2823713813134,0.0189748962151353
Grant,Stuart Lake,LA,31.5103944807498,-92.4451424306751,0.0212868938582404
LaSalle,Little Lake,LA,31.5539219227407,-92.0274752099523,4.06888244737141
Grant,Kisatchie Lake,LA,31.453892094894,-92.4455587967824,0.373384506650291
LaSalle,Willow Lake,LA,31.6018044227945,-92.0288690332246,0.155767743751213
Catahoula,Dempsey Lake,LA,31.606731980966,-91.9798492096829,0.233181758625804
LaSalle,Fool River,LA,31.5344952148954,-92.2686759187116,0.206029074826626
Catahoula,Fish Lake,LA,31.7133627720988,-91.8840961708774,0.0127429391885249
LaSalle,Little Lake Slough,LA,31.5736900416845,-92.0234223476905,0.0796054059931693
LaSalle,Walker Lake,LA,31.4976343066455,-92.2662056765477,0.39684282311891
LaSalle,Lehman Lake,LA,31.5027845854987,-92.2603914830752,0.063445344398739
Rapides,Middle Prairie,LA,31.4684705247056,-92.2239639438095,0.35388765539078
Grant,Boston Fool River,LA,31.719410307678,-92.3720290756492,0.0404946584275559
Catahoula,Long Lake,LA,31.6372801842139,-91.942731917246,0.321483139460994
LaSalle,Hub Lake,LA,31.70904657691,-92.3622562266936,0.00948692048170865
Catahoula,Round Lake,LA,31.6296521084148,-91.9652295241882,0.0631426987009884
LaSalle,Horseshoe Lake,LA,31.709602113567,-92.3644151404501,0.0205960397063482
LaSalle,Moon Lake,LA,31.6704308457785,-92.362298167532,0.0262795913936544
LaSalle,Catahoula Lake,LA,31.5099175640742,-92.1174245628181,73.7312618397511
Natchitoches,Boudreaux Lake,LA,31.4899684434303,-92.7945528299151,1.45788911482003
Natchitoches,Ben Lake,LA,31.6545944721382,-92.9512703907746,0.0477621072452245
Winn,Saint Maurice Lake,LA,31.7335290899241,-92.9602215555583,0.341377543196211
Natchitoches,Cow Lake,LA,31.5556721780449,-92.8363553996044,0.038734643176056
Natchitoches,Mitchell Lake,LA,31.4849525500908,-92.8399214508822,0.0781913846404262
Natchitoches,Horseshoe Lake,LA,31.5811895951777,-93.0154155416903,0.0474995503258605
Natchitoches,Mobly Bayou,LA,31.6437145201159,-92.9141873065198,0.0164978476927133
Natchitoches,Chico Lake,LA,31.5992988197357,-92.8631149772937,0.113564934902204
Natchitoches,Chaplin Lake,LA,31.7439602110489,-93.0951078868135,0.162982346770623
Natchitoches,Bayou Cadoche,LA,31.7110617929666,-92.9871530394378,0.00386310792970608
Grant,Dunn Lake,LA,31.693531926034,-92.9450474433047,0.322790071530666
Natchitoches,Willow Lake,LA,31.5021173901062,-92.8050400601954,0.214940614461183
Natchitoches,Twin Lakes,LA,31.4985782351797,-92.8178399318814,0.0589378445985028
Natchitoches,Bayou Cadney,LA,31.7659452663183,-93.0371428921975,0.00757804471015871
Rapides,Mill Pond,LA,31.413240856917,-92.6979537789535,0.17498958311126
Natchitoches,Bayou Athao,LA,31.6589849299678,-92.9765062483103,0.0296981367592244
Natchitoches,Murphys Lake,LA,31.7353194381914,-93.0560849440598,0.256161711760026
Natchitoches,Lake Rond,LA,31.5824306525599,-92.8746531553714,0.0169760834029893
Natchitoches,Hog Lake,LA,31.5508157595753,-92.8419085045411,0.119159792835
Winn,Old Mill Pond,LA,31.8139606719076,-92.7451032007657,0.0102515939492886
Grant,Nantachie Lake,LA,31.6253680403374,-92.8005678343219,6.23101440413229
Grant,Magnolia Lake,LA,31.5096373622054,-92.6721519607066,0.0149359359391178
Rapides,Diversion Canal,LA,31.2895126182949,-92.494658172103,0.0489853449612534
Natchitoches,Lake Morantine,LA,31.5204595980835,-92.762131787869,0.0220672767057213
Natchitoches,Jack Luke Lake,LA,31.4835950674946,-92.8291121645939,0.192845560203188
Natchitoches,Little Trudo Lake,LA,31.5600950905929,-92.7865155516061,0.067567119813834
Natchitoches,Wheeler Bayou,LA,31.643422424175,-92.9378721005554,0.0159365096657373
Natchitoches,Choctaw Bayou,LA,31.7791502989707,-93.01288607939,0.00135297015644722
Natchitoches,Breda Lake,LA,31.7750571760246,-93.0877083489396,0.0276178949945385
Natchitoches,Brown Lake,LA,31.5979156891543,-92.8822640253026,0.0323003747535697
Natchitoches,Lake Rat Bois,LA,31.5614413156891,-92.8805633597815,0.00115794013510959
Natchitoches,Bayou Des Glaizes,LA,31.6566152572689,-92.9217711420734,0.0488930769973257
Natchitoches,Bayou Cypress,LA,31.6283264662268,-92.9538655379661,0.00139404097301992
Rapides,Cotile Lake,LA,31.3166923363108,-92.7373889909944,6.42150985732501
Natchitoches,Bayou Bourbeaux,LA,31.6177800866225,-92.9215696279194,0.0652199161267923
Allen,Carpenters Lake,LA,30.6288750809117,-92.9324283149535,0.00512066103189194
Allen,Jerry Wright Lake,LA,30.7220326155227,-92.8909607910262,0.00474395720133761
Allen,Red Bluff Lake,LA,30.5796700222309,-92.9355359742913,0.0118270297734711
Allen,Isaiah Wright Lake,LA,30.706462104539,-92.8908207798616,0.00441622340822599
