st2,GEOID,lake,lat,lon
ME,23019,Bog Pond at Penobscot county ,45.4596986567431,-68.759781089407
ME,23019,Flatiron Pond at Penobscot county ,45.5022823076757,-68.794215087123
ME,23019,Cedar Lake at Penobscot county ,45.527637348551,-68.8009891894467
ME,23019,Tack Pond at Penobscot county ,45.4781582270058,-68.7341847590859
ME,23019,Mattamiscontis Lake at Penobscot county ,45.4906906830935,-68.6767543197629
ME,23019,Nollesemic Lake at Penobscot county ,45.5629834402023,-68.7050146040885
ME,23019,Silver Lake at Penobscot county ,45.3511171336962,-68.3168129956883
ME,23019,Lowell Lake at Penobscot county ,45.3761062224329,-68.0930464655495
ME,23019,Merrill Pond at Penobscot county ,45.3567844712174,-68.2930576537484
ME,23019,Upper Pug Lake at Penobscot county ,45.3207672892458,-68.11156623275
ME,23019,Weir Pond at Penobscot county ,45.3387810853737,-68.2281187984309
ME,23019,Lombard Lake at Penobscot county ,45.3398719463305,-68.1341597420376
ME,23019,Lower Shin Pond at Penobscot county ,46.0908274556889,-68.5673625008125
ME,23019,Ackley Pond at Penobscot county ,46.088240707715,-68.5322651628724
ME,23029,Tunnel Rips at Washington county ,45.5015769117849,-67.4281865733438
ME,23019,Madagascal Pond at Penobscot county ,45.2961020933774,-68.3477473916299
ME,23019,Little Madagascal Pond at Penobscot county ,45.3092213791846,-68.3337226206493
ME,23019,Lower Pug Lake at Penobscot county ,45.3097602441119,-68.1125491063313
ME,23019,Upper Long Pond at Penobscot county ,45.3217739919657,-68.4170314008518
ME,23019,Number Three Pond at Penobscot county ,45.3193908905426,-68.2585859472966
ME,23019,Green Pond at Penobscot county ,45.3199831204282,-68.3154353255207
ME,23019,Little Fitts Pond at Penobscot county ,44.7627324123665,-68.5554834058659
ME,23019,Picket Mountain Pond at Penobscot county ,46.134258559125,-68.4434257431418
ME,23021,Marr Pond at Piscataquis county ,45.1480854441506,-69.3018131435432
ME,23021,Pleasant Pond at Piscataquis county ,45.1506463140561,-68.9807082028415
ME,23021,Little Boyd Lake at Piscataquis county ,45.1872227707435,-68.9159476118399
ME,23021,Boyd Lake at Piscataquis county ,45.1746229118612,-68.9229280401052
ME,23019,Saponac Pond at Penobscot county ,45.1746070164067,-68.3831970051939
ME,23003,Grass Pond at Aroostook county ,46.1522609950813,-68.4245341642954
ME,23021,Bottle Pond at Piscataquis county ,45.7763605598414,-68.8521235543927
ME,23019,Long Logan at Penobscot county ,45.7758657612795,-68.5766774097688
ME,23021,Passamagamet Lake at Piscataquis county ,45.7458449672776,-68.9417193778931
ME,23001,Bog Brook at Androscoggin county ,44.1779836074586,-70.3634479258419
ME,23021,Big Benson Pond at Piscataquis county ,45.3648758764106,-69.3319523318213
ME,23021,Little Benson Pond at Piscataquis county ,45.365881903858,-69.3033760737543
ME,23021,Second Buttermilk Pond at Piscataquis county ,45.3335177108099,-69.2654617571271
ME,23021,First Buttermilk Pond at Piscataquis county ,45.3214258531636,-69.2885705822241
ME,23021,Big Grapevine Pond at Piscataquis county ,45.314205953962,-69.2567974418401
ME,23021,Mill Brook Pond at Piscataquis county ,45.3223476680399,-69.2433601442404
ME,23021,Burden Pond at Piscataquis county ,45.3466420935127,-69.2448993391947
ME,23021,Buttermilk Pond at Piscataquis county ,45.3569940276266,-69.2191471096935
ME,23021,Little Houston Pond at Piscataquis county ,45.4317921963654,-69.2093129148805
ME,23021,Big Houston Pond at Piscataquis county ,45.425505776035,-69.2346361857575
ME,23017,Mill Pond at Oxford county ,44.1312017556876,-70.8834302346709
ME,23031,Estes Lake at York county ,43.4255243600573,-70.6763957310204
ME,23009,Salmon Pond at Hancock county ,44.6328895810116,-68.0848686491235
ME,23021,Depot Pond at Piscataquis county ,45.9279809262497,-68.8942659935747
ME,23003,Jones Pond at Aroostook county ,47.3752897126153,-69.1375809719671
ME,23027,Swan Lake at Waldo county ,44.5490046605167,-68.9865568179805
ME,23019,Holbrook Pond at Penobscot county ,44.76065867487,-68.6149619621841
ME,23009,Alamoosook Lake at Hancock county ,44.5790901573271,-68.7008330165766
ME,23009,Hothole Pond at Hancock county ,44.6164916241787,-68.6692267912338
ME,23009,Hancock Pond at Hancock county ,44.6254780821431,-68.7040457371298
ME,23009,Craig Pond at Hancock county ,44.5837068714004,-68.6681117195469
ME,23009,Heart Pond at Hancock county ,44.5681241900214,-68.6626513589222
ME,23019,Webster Pond at Penobscot county ,45.446483861128,-68.188733285505
ME,23003,Molunkus Lake at Aroostook county ,45.6671751025271,-68.3121079211642
ME,23009,Upper Pistol Lake at Hancock county ,45.1938918422672,-68.1334697687527
ME,23009,Middle Pistol Lake at Hancock county ,45.1912437004637,-68.1566842279748
ME,23009,Lower Pistol Lake at Hancock county ,45.1889383438844,-68.2165850773224
ME,23009,Lower Unknown Lake at Hancock county ,45.1730008140963,-68.0555081106673
ME,23009,Killman Pond at Hancock county ,45.1965953708116,-68.0465249992327
ME,23009,Upper Unknown Lake at Hancock county ,45.1773298475475,-68.0802890026334
ME,23009,Middle Unknown Lake at Hancock county ,45.1799378993275,-68.066033696697
ME,23009,Middle Chain Lake at Hancock county ,45.2194532434987,-68.0775590902698
ME,23009,Duck Lake at Hancock county ,45.1502508047044,-68.0996602511949
ME,23009,Spencer Pond at Hancock county ,45.1668430170531,-68.1639622443651
ME,23019,Upper Sysladobsis Lake at Penobscot county ,45.3015339517386,-68.1261362902015
ME,23019,Duck Lake at Penobscot county ,45.3411165209315,-68.0471556599313
ME,23019,Soldier Pond at Penobscot county ,45.8062858925335,-68.641436108796
ME,23003,Monson Pond at Aroostook county ,46.6976196336048,-67.8021118778426
ME,23003,Fischer Lake at Aroostook county ,46.7112690644724,-67.8089441296988
ME,23003,Turtle Pond at Aroostook county ,46.6964624799208,-67.9151134632439
ME,23003,Lake Josephine at Aroostook county ,46.6739532279022,-67.9038404067022
ME,23003,Lake Christina at Aroostook county ,46.6935349285267,-67.8903315019292
ME,23003,Arnold Brook Lake at Aroostook county ,46.6515041501601,-68.0300537456306
ME,23003,Echo Lake at Aroostook county ,46.6174833393852,-68.0057839823552
ME,23003,Little Machias Lake at Aroostook county ,46.7193511021032,-68.5096673881194
ME,23009,Toddy Pond at Hancock county ,44.5233485096253,-68.6232346736171
ME,23003,Saint Croix Lake at Aroostook county ,46.296543142851,-68.1960816512307
ME,23003,Presque Isle Lake at Aroostook county ,46.4074091894042,-68.0906507334402
ME,23003,West Lake at Aroostook county ,46.4020797787286,-68.1178536240867
ME,23003,Number Nine Lake at Aroostook county ,46.4162804606866,-68.0475539863082
ME,23003,Nickerson Lake at Aroostook county ,46.0978272091828,-67.9269166699144
ME,23003,Gould Pond at Aroostook county ,46.1133924148205,-68.0174386633729
ME,23003,Spaulding Lake at Aroostook county ,46.1067329146942,-68.1030941835453
ME,23003,Hannigan Pond at Aroostook county ,46.1216681341514,-68.0108518352545
ME,23003,Meduxnekeag Lake at Aroostook county ,46.0945433056466,-68.0316795220831
ME,23003,Timoney Lake at Aroostook county ,46.1204028905894,-68.0813849920573
ME,23003,Carson Pond at Aroostook county ,46.1174089136373,-68.0632195295752
ME,23003,County Road Lake at Aroostook county ,46.1238914582376,-68.0230717819382
ME,23003,Cochrane Lake at Aroostook county ,46.1349781193873,-68.0357321761695
ME,23003,Champion Pond at Aroostook county ,46.0808753281912,-67.9312527349029
ME,23003,Clark Pond at Aroostook county ,46.1062725257244,-68.1332673227147
ME,23003,Glancy Lake at Aroostook county ,46.1204735855104,-67.9593245672107
ME,23003,Skitacook Lake at Aroostook county ,46.0337092985589,-68.0649009670732
ME,23003,South Branch Meduxnekeag River Reservoir at Aroostook county ,46.039449079604,-67.8683208663595
ME,23003,Hunter Pond at Aroostook county ,46.013442369042,-67.9126178143999
ME,23003,Pleasant Lake at Aroostook county ,46.0229335621326,-68.1624418833151
ME,23003,Plunkett Pond at Aroostook county ,45.7851151472831,-68.3677124875563
ME,23003,Lower Macwahoc Lake at Aroostook county ,45.8220185376383,-68.2700158738677
ME,23003,Braley Lake at Aroostook county ,45.8657265792892,-68.2313842393439
ME,23003,Cold Brook Lake at Aroostook county ,45.9029671031022,-68.282415459974
ME,23003,Otter Lake at Aroostook county ,45.9096938566344,-68.2331864586865
