NAME,lake,st2,lat,lon,area
"",Lake Michigan,IL,43.649827,-87.15934,
DuPage,Barth Pond,IL,41.7869923296744,-87.9987845503391,0.0233378007220348
Cook,North Pond,IL,41.9280373996988,-87.6371442732678,0.0383352935638093
Cook,Peterson Lake,IL,41.9987776518804,-87.8683047632584,0.0581125434436835
Lake,Drainage Pond,IL,42.3641469110438,-88.0082159389602,0.00586019816533816
Winnebago,Pearl Lake,IL,42.4810044565823,-89.0260004334667,0.160943107472005
Winnebago,Lake Summerset,IL,42.4524449160378,-89.3961735927166,1.11638348795482
Cook,Lake Mary Anne,IL,42.0559139757874,-87.8646678391236,0.0669815283485601
Cook,Lake Irene,IL,42.1044178170268,-88.0162347145148,0.0390346764767895
Boone,Candlewick Lake,IL,42.3539833398224,-88.8684068679963,0.832397867859545
Winnebago,Olson Lake,IL,42.354557014018,-88.9580361144578,0.149494491617162
Boone,LAKE BONITA,IL,42.2715457954473,-88.8764487971052,0.22574359634157
LaSalle,Lake Holiday,IL,41.6175277891554,-88.6718814536751,1.33460173335791
Cook,59th Street Harbor,IL,41.7877982113274,-87.5792155320275,0.0181406187859268
DuPage,Andy's Pond,IL,41.8577852353148,-88.2423313249981,0.0242776144356014
Cook,North Winter Basin,IL,41.9958276696048,-87.9038993120469,0.084108325542311
Cook,Park Lake,IL,42.0121044148525,-87.8535481745564,0.0253419589975193
Cook,Belleau Lake,IL,42.0343559595593,-87.8684938161995,0.0488420838510448
Stephenson,Willow Lake,IL,42.3339212198417,-89.6380359244464,0.101079630861982
Stephenson,Lake Le-Aqua-Na,IL,42.4206843304087,-89.8324246541652,0.175683235120708
Cook,North 100 Year Basin,IL,41.9997616051697,-87.904164530323,0.121864425746272
Cook,Mountain View Mine Park Pond,IL,42.0317172329622,-87.911414435571,0.00569898735904977
Cook,Lake Welborn,IL,42.1458544584741,-87.8429738686071,0.0361846697192038
Calhoun,Pohman Slough,IL,38.9520676027892,-90.4983229742803,0.280527261275194
Calhoun,Royal Lake,IL,38.9373853561022,-90.5024314122448,0.301159161764196
St. Clair,Whispering Willow Lake,IL,38.5997469887223,-90.101458223371,0.423922587527901
St. Clair,Grand Marais Lake,IL,38.5808336024753,-90.0857384955711,0.358062889265845
Madison,Horseshoe Lake,IL,38.6933696775268,-90.0909024219671,5.94649352097324
DuPage,Rice Lake,IL,41.8260240239136,-88.099878596535,0.172631304690238
DuPage,Lake Law,IL,41.8362504208622,-88.226119007146,0.228344761769451
Cook,Maple Lake,IL,41.7145335031071,-87.8902662019824,0.241268439500846
Cook,Harborside Marsh,IL,41.6910571838215,-87.5825384312726,0.571140760987516
Cook,Wolf Lake,IL,41.6716289287738,-87.5310050811394,0.398871221156598
Cook,Boomerang Slough,IL,41.7249632322604,-87.8630812600477,0.00880987346595975
Will,Arrowhead Pond,IL,41.7071479534577,-88.0725166876959,0.0113202051803597
Lake,Ames Pit,IL,42.4630110063678,-87.9394964270217,0.0643661696222596
Cook,Bullfrog Lake,IL,41.7093451497683,-87.900843505713,0.0649840376333437
DuPage,Redmond Reservoir,IL,41.9437090905604,-87.9289745789981,0.0969202484885556
DuPage,Far Hills Lake,IL,41.9493536839803,-88.2039330914044,0.00989176685189434
Cook,Pollywog Slough,IL,41.7190480572578,-87.8648841027459,0.0260909071449892
Cook,Retention Pond No. 4,IL,42.0016468880321,-88.1376389891339,0.019772579290893
DuPage,A.E. Sea,IL,41.8351070133951,-88.2186794548682,0.166220679579056
DuPage,Prince Pond,IL,41.7975862725391,-88.0153261570855,0.00390716324637563
Cook,Cranberry Slough,IL,41.7118987471349,-87.8566976473377,0.0262859010512615
Lake,Homer White Lake,IL,42.4541598880896,-88.0417473419498,0.174133260506078
Lake,Lake Charles,IL,42.2583097040392,-87.9649530771726,0.158186955327501
Cook,Citation Lake,IL,42.1134154477983,-87.8685357235047,0.040495445974522
Cook,White Pine Ditch Reservoir,IL,42.1428986841035,-87.955016832383,0.013969891811813
Cook,Lake Shermerville,IL,42.1327458970065,-87.8833795369865,0.0619958860714491
Lake,Hastings Lake,IL,42.4264136957866,-88.0387259367786,0.295469673156383
Cook,Lake Terramere,IL,42.1499471998258,-87.9931211827635,0.0285867337748197
Cook,Hidden Pond Slough,IL,41.7220811490637,-87.8497234479608,0.00515238563182361
Cook,Crawdad Slough,IL,41.7162718113934,-87.8745160024152,0.0298350436092372
Cook,Doughnut Lake,IL,42.1049460109319,-88.0127028944516,0.0469837037028844
Cook,Joe's Pond,IL,41.7025154087736,-87.8763315655023,0.0250837581620733
Lake,McDonald Woods Lake,IL,42.4206038537134,-88.0143295336448,0.0701302666570924
Cook,Briarwood Lake,IL,42.03429524645,-87.9673391415314,0.0858281850290494
Lake,Grandwood Lake,IL,42.3902195723557,-87.9929761078125,0.0323719748760398
DuPage,Mallard Lake,IL,41.9634526080394,-88.131121659738,0.352381423299336
Will,Turtle Lake,IL,41.6074023734797,-88.1836922865873,0.0362869350624878
Lake,Countryside Lake,IL,42.2525891480969,-88.044904713045,0.568629046291371
Will,Scuds Lake,IL,41.561552142804,-87.9331887814026,0.0246100343930715
Lake,Druce Lake,IL,42.3679998089165,-88.0048418429285,0.347568423637993
DuPage,Sterling Pond,IL,41.8147579770861,-88.0867003816703,0.00806118261589162
Will,Joliet Junior College Lake,IL,41.5015720261486,-88.1828508868144,0.0225320191189225
DuPage,Netzley Quarry,IL,41.7694346004294,-88.1571312864947,0.00551497157653909
Cook,Redwing Slough,IL,41.7171298866696,-87.850077389202,0.0113958464457078
