Zipcode,HUC8
02556,01090002
02557,01090002
02558,01090002
02559,01090002
02561,01090002
02562,01090002
02563,01090002
02564,01090002
02568,01090002
02571,01090002
02575,01090002
02576,01090002
02584,01090002
02601,01090002
02630,01090002
02631,01090002
02632,01090002
02633,01090002
02635,01090002
02637,01090002
02638,01090002
02639,01090002
02641,01090002
02642,01090002
02643,01090002
02644,01090002
02645,01090002
02646,01090002
02647,01090002
02648,01090002
02649,01090002
02650,01090002
02652,01090002
02653,01090002
02655,01090002
02657,01090002
02659,01090002
02660,01090002
02663,01090002
02664,01090002
02666,01090002
02667,01090002
02668,01090002
02670,01090002
02671,01090002
02672,01090002
02673,01090002
02675,01090002
02702,01090004
02703,01090004
02713,01090002
02715,01090004
02717,01090004
02718,01090004
02719,01090002
02720,01090004
02721,01090004
02723,01090004
02724,01090004
02725,01090004
02726,01090004
02738,01090002
02739,01090002
02740,01090002
02743,01090002
02744,01090002
02745,01090002
02746,01090002
02747,01090002
02748,01090002
02760,01090004
02762,01090004
02763,01090004
02764,01090004
02766,01090004
02767,01090004
02769,01090004
02770,01090002
02771,01090004
02777,01090004
02779,01090004
02780,01090004
02790,01090002
02791,01090002
02802,01090003
02804,01090005
02806,01090004
02807,01090005
02808,01090005
02809,01090004
02812,01090005
02813,01090005
02814,01090003
02815,01090004
02816,01090004
02817,01090005
02818,01090004
02822,01090005
02823,01090004
02824,01090003
02825,01090004
02826,01090003
02827,01100001
02828,01090004
02829,01090004
02830,01090003
02831,01090004
02832,01090005
02833,01090005
02835,01090004
02836,01090005
02837,01090002
02838,01090003
02839,01090003
02840,01090004
02841,01090004
02842,01090004
02852,01090004
02857,01090004
02858,01090003
02859,01090003
02860,01090004
02861,01090004
02863,01090003
02864,01090003
02865,01090004
02871,01090004
02872,01090004
02873,01090005
02874,01090004
02875,01090005
02876,01090003
02878,01090004
02879,01090005
02881,01090005
02882,01090004
02885,01090004
02886,01090004
02888,01090004
02889,01090004
02891,01090005
02892,01090005
02893,01090004
02894,01090005
02895,01090003
02896,01090003
02898,01090005
02903,01090004
02904,01090004
02905,01090004
02906,01090004
02907,01090004
02908,01090004
02909,01090004
02910,01090004
02911,01090004
02912,01090004
02914,01090004
02915,01090004
02916,01090004
02917,01090004
02918,01090004
02919,01090004
02920,01090004
02921,01090004
03031,01070006
03032,01070006
03033,01070004
03034,01060003
03036,01060003
03037,01060003
03038,01070006
03042,01060003
03043,01070006
03044,01060003
03045,01070006
03046,01070006
03047,01070003
03048,01070004
03049,01070004
03051,01070006
03052,01070006
03053,01070006
03054,01070006
03055,01070006
03057,01070006
03060,01070006
03062,01070006
03063,01070006
03064,01070006
03070,01070006
03071,01070006
03076,01070006
03077,01060003
03079,01070006
03082,01070006
03084,01070006
03086,01070006
03087,01070006
03101,01070006
03102,01070006
03103,01070006
03104,01070006
03106,01070006
03109,01070006
03110,01070006
03215,01070001
03216,01070003
03217,01070001
03218,01070006
03220,01070002
03221,01070003
03222,01070001
03223,01070001
03224,01070006
03225,01070006
03226,01070001
03227,01070001
03229,01070003
03230,01070001
03231,01070001
03233,01070003
03234,01070006
03235,01070001
03237,01070006
03238,01070001
03240,01070001
03241,01070001
03242,01070003
03243,01070001
03244,01070003
03245,01070001
03246,01070002
03249,01070002
03251,01070001
03253,01070002
03254,01070002
03255,01070003
03256,01070001
03257,01070003
03258,01070006
03259,01060002
03260,01070003
03261,01060003
03262,01070001
03263,01070006
03264,01070001
03266,01070001
03268,01070003
03269,01070001
03273,01070003
03275,01070006
03276,01070002
03278,01070003
03279,01070001
03280,01070003
03281,01070006
03282,01070001
03284,01080106
03285,01070001
03287,01070003
03290,01060003
03291,01060003
03293,01070001
03301,01070006
03303,01070003
03304,01070006
03307,01070006
03431,01080201
03440,01070003
03441,01080201
03442,01070003
03443,01080107
03444,01070003
03445,01080201
03446,01080201
03447,01080202
03448,01080201
03449,01070003
03450,01070003
03451,01080107
03452,01070003
03455,01080201
03456,01080201
03457,01080201
03458,01070003
03461,01080202
03462,01080201
03464,01070003
03465,01080201
03466,01080107
03467,01080107
03470,01080201
03561,01080103
03570,01040001
03574,01080103
03575,01080103
03576,01080101
03579,01040001
03580,01080103
03581,01040002
03582,01080101
03583,01080101
03584,01080101
03585,01080103
03586,01080103
03588,01040001
03590,01080101
03592,01080101
03593,01060002
03595,01080103
03597,01080101
03598,01080103
03601,01080107
03602,01080107
03603,01080106
03604,01080107
03605,01080107
03607,01080107
03608,01080107
03609,01080106
03740,01080103
03741,01080106
03743,01080106
03745,01080106
03748,01080106
03750,01080104
03751,01080106
03752,01080106
03753,01080106
03755,01080104
03765,01080103
03766,01080106
03768,01080104
03770,01080106
03771,01080103
03773,01080106
03774,01080103
03777,01080104
03779,01080104
03780,01080103
03781,01080106
03782,01080106
03784,01080106
03785,01080103
03801,01060003
03809,01070002
03810,01070002
03811,01070006
03812,01060002
03813,01060002
03814,01060002
03816,01070002
03817,01060002
03818,01060002
03819,01070006
03820,01060003
03823,01060003
03824,01060003
03825,01060003
03826,01070006
03827,01070006
03830,01060002
03832,01060002
03833,01060003
03835,01060003
03836,01060002
03837,01070006
03838,01060002
03839,01060003
03840,01060003
03841,01070006
03842,01060003
03844,01060003
03845,01060002
03846,01060002
03847,01060002
03848,01070006
03849,01060002
03850,01070002
03851,01060003
03852,01060003
03853,01070002
03854,01060003
03855,01070002
03856,01060003
03857,01060003
03858,01070006
03860,01060002
03861,01060003
03862,01060003
03864,01060002
03865,01070006
03867,01060003
03868,01060003
03869,01060003
03870,01060003
03871,01060003
03872,01060003
03873,01060003
03874,01060003
03875,01060002
03878,01060003
03882,01060002
03883,01060002
03884,01060003
03885,01060003
03886,01060002
03887,01060003
03890,01060002
03894,01070002
03897,01060002
03901,01060003
03902,01060003
03903,01060003
03904,01060003
03905,01060003
03906,01060003
03907,01060003
03908,01060003
03909,01060003
03910,01060003
03911,01060003
04001,01060003
04002,01060003
04003,01060001
04005,01060002
04006,01060003
04008,01040002
04009,01060001
04010,01060002
04011,01060001
04015,01060001
04017,01060001
04019,01060001
04020,01060002
04021,01060001
04022,01060002
04024,01060002
04027,01060003
04029,01060001
04030,01060002
04032,01060001
04037,01060002
04038,01060001
04039,01060001
04040,01060001
04041,01060002
04042,01060002
04043,01060003
04046,01060003
04047,01060002
04048,01060002
04049,01060002
04050,01060001
04051,01060002
04055,01060001
04056,01060002
04057,01060001
04061,01060002
04062,01060001
04063,01060001
04064,01060001
04066,01060001
04068,01060002
04069,01060001
04071,01060001
04072,01060001
04073,01060003
04074,01060001
04076,01060003
04079,01060001
04083,01060003
04084,01060001
04085,01060002
04086,01040002
04087,01060003
04088,01060001
04090,01060003
04091,01060002
04092,01060001
04093,01060001
04095,01060002
04096,01060001
04097,01060001
04101,01060001
04102,01060001
04103,01060001
04105,01060001
04106,01060001
04107,01060001
04108,01060001
04109,01060001
04110,01060001
04210,01040002
04216,01040002
04217,01040002
04219,01040002
04220,01040002
04221,01040002
04222,01040002
04224,01040002
04226,01040002
04227,01040002
04231,01060002
04234,01030003
04236,01040002
04237,01040002
04238,01040002
04239,01040002
04240,01040002
04250,01040002
04252,01040002
04253,01040002
04254,01040002
04255,01040002
04256,01040002
04257,01040002
04258,01040002
04259,01030003
04260,01060001
04261,01040002
04263,01040002
04265,01030003
04267,01060001
04268,01040002
04270,01040002
04271,01040002
04274,01040002
04275,01040002
04276,01040002
04280,01040002
04281,01040002
04282,01040002
04284,01040002
04285,01040002
04286,01040002
04287,01040002
04289,01040002
04290,01040002
04292,01040002
04294,01030003
04330,01030003
04341,01050003
04342,01030003
04344,01030003
04345,01030003
04346,01030003
04347,01030003
04348,01050003
04349,01040002
04350,01030003
04351,01030003
04352,01030003
04353,01050003
04354,01050003
04355,01030003
04357,01030003
04358,01030003
04359,01030003
04360,01040002
04363,01050003
04364,01030003
04401,01020005
04406,01020004
04408,01050002
04410,01020005
04411,01020005
04412,01020005
04413,01020003
04414,01020004
04415,01020004
04416,01020005
04417,01020005
04418,01020005
04419,01020005
04421,01050002
04422,01020005
04424,01020003
04426,01020004
04427,01020005
04428,01020005
04429,01020005
04430,01020001
04431,01020005
04434,01020005
04435,01020005
04438,01020005
04441,01020001
04442,01030001
04443,01020004
04444,01020005
04448,01020004
04449,01020005
04450,01020005
04451,01020003
04453,01020005
04454,01050001
04455,01020005
04456,01020005
04457,01020005
04459,01020003
04460,01020005
04461,01020005
04462,01020001
04463,01020004
04464,01020004
04468,01020005
04469,01020005
04471,01050001
04472,01020005
04473,01020005
04474,01020005
04475,01020005
04476,01050002
04478,01030001
04479,01020004
04481,01020004
04485,01020004
04487,01020003
04488,01030003
04489,01020005
04490,01050001
04491,01050001
04492,01050001
04493,01020005
04495,01020003
04496,01020005
04497,01020003
04530,01050003
04535,01050003
04537,01050003
04538,01050003
04539,01050003
04541,01050003
04543,01050003
04544,01050003
04547,01050003
04548,01050003
04551,01050003
04553,01050003
04554,01050003
04555,01050003
04556,01050003
04558,01050003
04562,01050003
04563,01050003
04564,01050003
04568,01050003
04570,01050003
04571,01050003
04572,01050003
04573,01050003
04574,01050003
04575,01050003
04576,01050003
04578,01050003
04579,01050003
04605,01050002
04606,01050002
04607,01050002
04609,01050002
04611,01050002
04612,01050002
04613,01050002
04614,01050002
04616,01050002
04617,01050002
04619,01050001
04622,01050002
04623,01050002
04624,01050002
04625,01050002
04626,01050002
04627,01050002
04628,01050004
04630,01050002
04631,01050004
04634,01050002
04635,01050002
04640,01050002
04642,01050002
04643,01050002
04645,01050002
04646,01050002
04648,01050002
04649,01050002
04650,01050002
04652,01050004
04653,01050002
04654,01050002
04655,01050002
04657,01050004
04658,01050002
04660,01050002
04662,01050002
04664,01050002
04666,01050004
04667,01050004
04668,01050001
04669,01050002
04671,01050001
04673,01050002
04674,01050002
04675,01050002
04676,01050002
04677,01050002
04679,01050002
04680,01050002
04681,01050002
04683,01050002
04684,01050002
04685,01050002
04686,01050002
04691,01050004
04693,01050002
04694,01050001
04730,01010005
04732,01010004
04733,01020003
04734,01010010
04735,01010004
04736,01010004
04737,01010002
04739,01010003
04740,01010010
04742,01010004
04743,01010003
04745,01010008
04746,01010009
04747,01020003
04750,01010004
04756,01010009
04757,01010004
04758,01010010
04760,01010005
04761,01010005
04762,01010004
04763,01020003
04764,01010004
04765,01020002
04766,01010004
04768,01010002
04769,01010004
04772,01010003
04773,01010003
04774,01010008
04776,01020003
04777,01020005
04779,01010003
04780,01020003
04781,01010003
04783,01010004
04785,01010009
04786,01010004
04787,01010010
04841,01050003
04843,01050002
04847,01050003
04848,01050002
04849,01050002
04851,01050002
04852,01050003
04853,01050002
04854,01050002
04855,01050003
04856,01050002
04858,01050002
04859,01050002
04860,01050003
04861,01050003
04862,01050003
04863,01050002
04864,01050003
04901,01030003
04910,01030003
04911,01030003
04912,01030003
04915,01050002
04917,01030003
04918,01030003
04920,01030003
04921,01020005
04922,01030003
04923,01030003
04924,01030003
04925,01030003
04926,01030003
04927,01030003
04928,01030003
04929,01030003
04930,01030003
04932,01030003
04936,01030002
04937,01030003
04938,01030003
04939,01020005
04940,01030003
04941,01050003
04942,01030003
04943,01030003
04944,01030003
04945,01030001
04947,01030003
04949,01050003
04950,01030003
04951,01020005
04952,01050002
04953,01030003
04955,01030003
04956,01030003
04957,01030003
04958,01030003
04961,01030003
04963,01030003
04964,01040001
04965,01030003
04966,01030003
04967,01030003
04969,01030003
04970,01040001
04971,01030003
04973,01050003
04974,01050002
04975,01030003
04976,01030003
04978,01030003
04979,01030003
04981,01020005
04982,01030002
04983,01030003
04984,01030003
04985,01030001
04986,01030003
04987,01030003
04988,01030003
04989,01030003
04992,01030003
05001,01080105
05009,01080105
05030,01080106
05031,01080105
05032,01080105
05033,01080104
05034,01080106
05035,01080106
05036,01080105
05037,01080106
05038,01080105
05039,01080104
05040,01080104
05041,01080105
05042,01080103
05043,01080104
05045,01080104
05046,01080103
05048,01080106
05050,01080103
05051,01080103
05052,01080106
05053,01080105
05055,01080104
05056,01080106
05058,01080104
05059,01080106
05060,01080105
05061,01080105
05062,01080106
05065,01080105
05067,01080106
05068,01080105
05069,01080103
05070,01080104
05071,01080106
05072,01080104
05073,01080106
05075,01080104
05076,01080104
05077,01080105
05079,01080104
05081,01080103
05083,01080104
05084,01080105
05086,01080104
05088,01080104
05089,01080106
05091,01080106
05101,01080106
05141,01080107
05142,01080106
05143,01080106
05146,01080107
05148,01080107
05149,01080106
05150,01080106
05151,01080106
05152,01080107
05153,01080106
05154,01080107
05155,01080107
05156,01080106
05158,01080107
05161,01080107
05201,02020003
05250,02020003
05251,04150401
05252,02020003
05253,04150402
05254,02020003
05255,02020003
05257,02020003
05260,02020003
05261,02020003
05262,02020003
05301,01080107
05340,01080107
05341,01080107
05342,01080203
05343,01080107
05344,01080203
05345,01080107
05346,01080107
05350,01080203
05351,01080107
05352,02020003
05353,01080107
05354,01080201
05355,01080107
05356,01080203
05358,01080203
05359,01080107
05360,01080203
05361,01080203
05362,01080107
05363,01080203
05401,04150408
05403,04150408
05404,04150403
05405,04150403
05408,04150408
05439,04150403
05440,04150408
05441,04150407
05442,04150405
05443,04150402
05444,04150405
05445,04150408
05446,04150408
05447,04150407
05448,04150407
05450,04150407
05452,04150403
05454,04150405
05455,04150407
05456,04150408
05457,04150408
05458,04150408
05459,04150408
05461,04150408
05462,04150403
05463,04150408
05464,04150405
05465,04150403
05468,04150408
05471,04150407
05472,04150408
05473,04150408
05474,04150408
05476,04150407
05477,04150403
05478,04150408
05481,04150408
05482,04150408
05483,04150407
05485,04150407
05486,04150408
05487,04150408
05488,04150408
05489,04150405
05491,04150402
05492,04150405
05494,04150405
05495,04150403
05602,04150403
05640,04150403
05641,04150403
05647,04150403
05648,04150403
05649,01080104
05650,04150403
05651,04150403
05652,04150405
05653,04150405
05654,04150403
05655,04150405
05656,04150405
05658,04150403
05660,04150403
05661,04150405
05663,04150403
05664,04150403
05666,04150403
05667,04150403
05669,01080105
05670,04150403
05672,04150403
05673,04150403
05674,04150403
05675,01080105
05676,04150403
05677,04150403
05678,04150403
05679,04150403
05680,04150405
05681,04150405
05682,04150403
05701,04150402
05730,04150402
05731,04150408
05732,04150401
05733,04150402
05734,04150402
05735,04150401
05736,04150402
05737,01080105
05738,04150402
05739,04150402
05742,04150402
05743,04150401
05744,04150401
05746,01080105
05747,01080105
05748,01080105
05751,01080106
05753,04150402
05757,04150401
05758,01080106
05759,04150402
05760,04150408
05761,04150401
05762,01080105
05763,04150402
05764,04150401
05765,04150402
05766,04150402
05767,01080105
05768,04150401
05769,04150402
05770,04150408
05772,01080105
05773,04150402
05774,04150401
05775,04150401
05776,02020003
05777,04150402
05778,04150402
05819,01080102
05820,04150500
05821,01080103
05822,04150500
05824,01080102
05825,04150500
05826,04150500
05827,04150500
05828,01080102
05829,04150500
05830,04150500
05832,01080102
05833,04150500
05836,04150405
05837,01080102
05839,04150500
05840,01080101
05841,04150405
05842,04150405
05843,04150405
05845,04150500
05846,01080101
05847,04150407
05850,01080102
05851,01080102
05853,04150500
05855,04150500
05857,04150407
05858,01080102
05859,04150407
05860,04150500
05862,01080103
05866,01080102
05867,01080102
05868,04150407
05871,01080102
05872,04150500
05873,01080102
05874,04150407
05875,04150500
05901,01080101
05902,01080101
05903,01080101
05904,01080103
05905,01080101
05906,01080101
05907,04150500
06001,01080207
06002,01080205
06010,01080207
06013,01080207
06016,01080205
06018,01100005
06019,01080207
06020,01080207
06021,01080207
06022,01080207
06023,01080205
06024,01100005
06026,01080207
06027,01080207
06029,01080205
06031,01100005
06032,01080207
06033,01080205
06035,01080207
06037,01080205
06039,01100005
06040,01080205
06042,01080205
06043,01100002
06051,01080205
06052,01080205
06053,01080205
06057,01080207
06058,01100005
06059,01080207
06060,01080207
06061,01080207
06062,01100004
06063,01080207
06065,01080207
06066,01080205
06067,01080205
06068,01100005
06069,01100005
06070,01080207
06071,01080205
06072,01080205
06073,01080205
06074,01080205
06076,01100002
06078,01080205
06079,01100005
06080,01080205
06081,01080207
06082,01080205
06084,01100002
06085,01080207
06088,01080205
06089,01080207
06090,01080207
06091,01080207
06092,01080207
06093,01080205
06095,01080207
06096,01080205
06098,01080207
06103,01080205
06105,01080205
06106,01080205
06107,01080205
06108,01080205
06109,01080205
06110,01080205
06111,01080205
06112,01080205
06114,01080205
06117,01080205
06118,01080205
06119,01080205
06120,01080205
06226,01100002
06231,01080205
06232,01100002
06234,01100001
06235,01100002
06237,01100002
06238,01100002
06239,01100001
06241,01100001
06242,01100002
06243,01100001
06247,01100002
06248,01080205
06249,01100003
06250,01100002
06254,01100002
06255,01100001
06256,01100002
06258,01100001
06259,01100001
06260,01100001
06262,01100001
06263,01100001
06264,01100002
06266,01100002
06268,01100002
06269,01100002
06277,01100001
06278,01100002
06279,01100002
06280,01100002
06281,01100001
06282,01100002
06320,01100003
06330,01100002
06331,01100001
06332,01100001
06333,01100003
06334,01100003
06335,01100003
06336,01100003
06338,01100003
06339,01100003
06340,01100003
06350,01100002
06351,01100001
06353,01100003
06354,01100001
06355,01100003
06357,01100003
06359,01090005
06360,01100003
06365,01100003
06370,01100003
06371,01080205
06373,01100001
06374,01100001
06375,01100003
06376,01100003
