lake,state
Saliba Lake,Colorado
Salmon Lake,Colorado
Salt Lake,Colorado
Salyers Reservoir,Colorado
Salzar Reservoir,Colorado
San Luis Lake,Colorado
Sanborn Reservoir,Colorado
Sanchez Reservoir,Colorado
Sand Lake,Colorado
Sandbeach Lake,Colorado
Santa Maria Reservoir,Colorado
Savage Lakes,Colorado
Sawmill Lake,Colorado
Sawyer Lake,Colorado
Saxton Lake,Colorado
Scales Lake Number 1,Colorado
Scales Lake Number 2,Colorado
Schafer Reservoir,Colorado
Schneider Lake,Colorado
Schoolhouse Reservoir,Colorado
Scotland Park Reservoir,Colorado
Scotland Peak Reservoir,Colorado
Scotts Lake,Colorado
Scout Lake,Colorado
Section 35 Reservoir,Colorado
Seeley Lake,Colorado
Seepage Lake,Colorado
Sellar Lake,Colorado
Sellers - Crowell Reservoir,Colorado
Sellers and McClane Reservoir,Colorado
Sequine Reservoir,Colorado
Seven Lakes Reservoir,Colorado
Seventh Lake,Colorado
Seventy Holes Lake,Colorado
Seymour Lake,Colorado
Shadow Lake,Colorado
Shaffer Reservoir,Colorado
Shagwa Lake,Colorado
Shalona Lake,Colorado
Sharp Lake,Colorado
Sharps Orchard Reservoir,Colorado
Shavano Lake,Colorado
Shavetail Reservoir,Colorado
Shaw Lake,Colorado
Shawver Reservoir,Colorado
Sheep Lake,Colorado
Sheep Lakes,Colorado
Shelf Lake,Colorado
Shepherd Lake,Colorado
Sheridan Lake,Colorado
Sheriff Reservoir,Colorado
Sherman Lake,Colorado
Sherwin Lake,Colorado
Shingle Lake,Colorado
Shirley Detention Reservoir Number 1,Colorado
Short Reservoir,Colorado
Shortcut Reservoir,Colorado
Siberia Lake,Colorado
Signal Reservoir Number 1,Colorado
Signal Reservoir Number 2,Colorado
Silesca Pond,Colorado
Silver Creek Lakes,Colorado
Silver Dollar Lake,Colorado
Silver King Lake,Colorado
Silver Lake,Colorado
Sinkovits and Linke Reservoir,Colorado
Sixmile Reservoir,Colorado
Skagway Reservoir,Colorado
Skank Lake,Colorado
Skeel Reservoir,Colorado
Skeel Reservoir Number 1,Colorado
Skillet Lake,Colorado
Skinned Horse Reservoir,Colorado
Skinny Fish Lake,Colorado
Skookum Reservoir,Colorado
Sky Pond,Colorado
Skycraper Reservoir,Colorado
Slab Canyon Reservoir,Colorado
Slack-Weiss Reservoir,Colorado
Slate Lake,Colorado
Slater Lake,Colorado
Slesinger Reservoir,Colorado
Slide Lake,Colorado
Slide Mandall Lake,Colorado
Slinde Reservoir,Colorado
Sloan Lake,Colorado
Sloan Number 1 Reservoir,Colorado
Sloans Lake,Colorado
Slough Grass Lake,Colorado
Smith Lake,Colorado
Smith Reservoir,Colorado
Snake Lake,Colorado
Snow Lake,Colorado
Snowbank Lake,Colorado
Snowden Lake,Colorado
Snowdrift Lake,Colorado
Snowline Lake,Colorado
Snowmass Lake,Colorado
Snowstorm Lake,Colorado
Snyder Lake,Colorado
Snyder Reservoir Number Two,Colorado
Soda Lakes,Colorado
Soda West Reservoir Number 1,Colorado
Soderquist Reservoir,Colorado
Solitary Lake,Colorado
Solitude Lake,Colorado
Somerville-McCullah Reservoir,Colorado
Sopris Lake,Colorado
South Branch Lake,Colorado
South Canyon Lake,Colorado
South Catamount Reservoir,Colorado
South Colony Lakes,Colorado
South Colorado Power Company Reservoir,Colorado
South Crestone Lake,Colorado
South Delaney Lake,Colorado
South Gray Reservoir,Colorado
South Lake,Colorado
South McCabe Lake,Colorado
South Mesa Lake,Colorado
Southside Reservoirs,Colorado
Spectacle Lakes,Colorado
Spectacle Reservoir,Colorado
Spencer Lake,Colorado
Spike Lake,Colorado
Spinney Mountain Reservoir,Colorado
Spirit Lake,Colorado
Spitzer Lake,Colorado
Spomer Lakes,Colorado
Spout Lake,Colorado
Sprague Lake,Colorado
Spring Creek Reservoir,Colorado
Spring Creek Reservoir Number 1,Colorado
Spring Lake,Colorado
Spring Park Reservoir,Colorado
Spruce Lake,Colorado
Square Top Lakes,Colorado
Squaw Lake,Colorado
Stalker Lake,Colorado
Stambaugh Reservoir,Colorado
Standley Lake,Colorado
Stanley Lake,Colorado
Stapp Lakes,Colorado
Star Lake,Colorado
Steamboat Lake,Colorado
Steele Brothers Reservoir Number 1,Colorado
Steele Brothers Reservoir Number 2,Colorado
Steer Lake,Colorado
Stell Lake,Colorado
Sterner Reservoir,Colorado
Sterry Lake,Colorado
Steuart Lake,Colorado
Stevens Reservoir,Colorado
Stevens Reservoir Number 2 and 3,Colorado
Stewart Lake,Colorado
Still Waters,Colorado
Stillwater Reservoir,Colorado
Stinsby Reservoir,Colorado
Stone Lake,Colorado
Stoner Lake,Colorado
Storm Lake,Colorado
Storm Reservoir,Colorado
Stouffer Reservoir Number 1,Colorado
Stouffer Reservoir Number 2,Colorado
Stouffer Reservoir Number 3,Colorado
Stouffer Reservoir Number 4,Colorado
Stratton Lake,Colorado
Strawberry Lake,Colorado
Strawberry Lakes,Colorado
Streams Lake,Colorado
Stybr Reservoir Number 2,Colorado
Sugarbowl Lake,Colorado
Sullivan Reservoir,Colorado
Summers Reservoir,Colorado
Summit Lake,Colorado
Summit Reservoir,Colorado
Summit Reservoir Number 1,Colorado
Summit Reservoir Number 2,Colorado
Sunken Lake,Colorado
Sunlight Lake,Colorado
Sunnyside Lakes,Colorado
Sunnyslope Reservoir,Colorado
Sunset Lake,Colorado
Supply Basin Reservoir,Colorado
Surprise Lake,Colorado
Swanson Lake,Colorado
Swede Lake,Colorado
Swede Lakes,Colorado
Sweetwater Lake,Colorado
Sweitzer Lake,Colorado
Swink Reservoir Number 1,Colorado
Swink Reservoir Number 2,Colorado
Swink Reservoir Number 5,Colorado
Sylvan Lake,Colorado
Sylvan Lakes,Colorado
Sylvan Reservoir,Colorado
T Lazy T Reservoir,Colorado
Tabor Lake,Colorado
Tagerts Lake,Colorado
Tarryall Ranch Reservoir Number 1,Colorado
Tarryall Reservoir,Colorado
Taussig Reservoir Number 1,Colorado
Taylor Lake,Colorado
Taylor Park Reservoir,Colorado
Teal Lake,Colorado
Teasup Lake,Colorado
Teller Lake,Colorado
Teller Lake Number 5,Colorado
Teller Reservoir,Colorado
Tellurium Lake,Colorado
Tenmile Tailings Pond,Colorado
Tennessee Pond,Colorado
Terrace Reservoir,Colorado
Terry Lake,Colorado
Texas Lakes,Colorado
Thatcher Reservoir,Colorado
The Loch,Colorado
Thomas Lake Reservoir,Colorado
Thomas Reservoir,Colorado
Thompson Lake,Colorado
Thompson Reservoir,Colorado
Thompson Reservoir Number 1,Colorado
Thompson Reservoir Number 2,Colorado
Thompson Reservoir Number 3,Colorado
Thorn Lake,Colorado
Three Lakes,Colorado
Thunder Lake,Colorado
Thunderbird Lake,Colorado
Tiago Lake,Colorado
Tibbits Lake,Colorado
Timber Lake,Colorado
Timberline Lake,Colorado
Timnath Reservoir,Colorado
Tipperary Lake,Colorado
Tobacco Lake,Colorado
Todd Reservoir,Colorado
Tolle and Ditch Reservoir Number 1,Colorado
Tom Frost Reservoir,Colorado
Tonier Gulch Reservoir,Colorado
Toponas Rock Reservoir Number 2,Colorado
Totten Lake,Colorado
Town of Mead Reservoir,Colorado
Town Reservoir,Colorado
Trap Lake,Colorado
Trappers Lake,Colorado
Treasure Vault Lake,Colorado
Trevarton Reservoir,Colorado
Triangle Reservoir Number 1,Colorado
Trickle Reservoir,Colorado
Trinity Lake,Colorado
Trio Reservoir,Colorado
Triple Lakes,Colorado
Trites Lake,Colorado
Trout Lake,Colorado
Troutvale Reservoir Number 1,Colorado
Trull Creek Reservoir Number 1,Colorado
Truro Lake,Colorado
Tucker Lake,Colorado
Tuhare Lakes,Colorado
Tunnel Lake,Colorado
Turkey Creek Lake,Colorado
Turks Pond,Colorado
Turner Reservoir,Colorado
Turquoise Lake,Colorado
Twin Basin Reservoir,Colorado
Twin Crater Lakes,Colorado
Twin Lake,Colorado
Twin Lake Number 1,Colorado
Twin Lake Reservoir,Colorado
Twin Lakes,Colorado
Twin Lakes Number 2,Colorado
Twin Lakes Reservoir,Colorado
Twin Mandall Lakes,Colorado
Twin Mountains Lake,Colorado
Two Ledge Reservoir,Colorado
Two Rivers Lake,Colorado
Twombly Reservoir,Colorado
Tyler Reservoir,Colorado
Underwood Lakes,Colorado
Uneva Lake,Colorado
Union Reservoir,Colorado
Upper Cabin Creek Reservoir,Colorado
Upper Camp Lake,Colorado
Upper Cataract Lake,Colorado
Upper Chicosa Reservoir,Colorado
Upper Church Lake,Colorado
Upper Coney Lake,Colorado
Upper Craven Reservoir,Colorado
Upper Dome Reservoir,Colorado
Upper Fourmile Lake,Colorado
Upper Hancock Lake,Colorado
Upper Hoffman Lake,Colorado
Upper Homestake Lake,Colorado
Upper Hotel Lake,Colorado
Upper Lake,Colorado
Upper Long Lake,Colorado
Upper Michigan Reservoir,Colorado
Upper Mount Olivet Reservoir,Colorado
Upper Peeler Lakes,Colorado
Upper Piney Lake,Colorado
Upper Pomeroy Lake,Colorado
Upper Reservoir,Colorado
Upper Sand Creek Lake,Colorado
Upper Sandbar Lake,Colorado
Upper Slate Lake,Colorado
Upper Slide Lake,Colorado
Upper Stillwater Reservoir,Colorado
Upper Storm Lake,Colorado
Upper Turquoise Lake,Colorado
Upper Twin Lake,Colorado
Ursulo Lake,Colorado
Ute Creek Reservoir,Colorado
Ute Lake,Colorado
Vaile Reservoir,Colorado
Valdez Lake,Colorado
Vallecito Lake,Colorado
Vallecito Reservoir,Colorado
Valley Reservoir Number 1,Colorado
Valley Reservoir Number 2,Colorado
Van Cleave-Fisher Reservoir,Colorado
Van Springs Reservoir,Colorado
Van Valkenburg Reservoir,Colorado
Vasquez Lake,Colorado
Vaughan Lake,Colorado
Vega Reservoir,Colorado
Vela Reservoir,Colorado
Venable Lakes,Colorado
Verde Lake,Colorado
Verhoeff Reservoir,Colorado
Vertrees Reservoir,Colorado
Vestal Lake,Colorado
Victor Reservoir Number 2,Colorado
Viele Lake,Colorado
Vincent Reservoir Number 1,Colorado
Vincent Reservoir Number 2,Colorado
Von Springs Reservoir Number 1,Colorado
Vouga Reservoir,Colorado
Waddle Creek Reservoir,Colorado
Wade Lake,Colorado
Wadley Reservoir Number 1,Colorado
Wadley Reservoir Number 3,Colorado
Waite Lake,Colorado
Wakeman Reservoir,Colorado
Walden Reservoir,Colorado
Walker Reservoir,Colorado
Wall Lake,Colorado
Walsenburg Water System Reservoir,Colorado
Walters Lake,Colorado
Waneka Reservoir,Colorado
Ward Creek Reservoir,Colorado
Ward Reservoir,Colorado
Ward Reservoir Number 5,Colorado
Warren Lake,Colorado
Warren Lakes,Colorado
Wasson Reservoir,Colorado
Water Canyon Reservoir,Colorado
Water Dog Reservoir,Colorado
Water Supply and Storage Reservoir Number 4,Colorado
Waterdog Lake,Colorado
Waterdog Lakes,Colorado
Watson Lake,Colorado
Watson Reservoir,Colorado
Waucondah Reservoir,Colorado
Way Reservoir,Colorado
Webb Lake,Colorado
Weber Reservoir,Colorado
Weir Park Reservoir,Colorado
Weisman Lake,Colorado
Welch Reservoir,Colorado
Weller Lake,Colorado
Welsh Reservoir,Colorado
West Arapaho Reservoir,Colorado
West Cherry Creek Detention Number 11 Reservoir,Colorado
West Cherry Creek Detention Number 4 Reservoir,Colorado
West Cherry Creek Detention Number 5 Reservoir,Colorado
West Cherry Creek Detention Number 6 Reservoir,Colorado
West Cherry Creek Detention Number 9 Reservoir,Colorado
West Creek Lake,Colorado
West Elk Reservoir,Colorado
West Fourmile Reservoir,Colorado
West Griffith Lake,Colorado
West Lake,Colorado
West Lost Lake,Colorado
West Reservoir Number One,Colorado
West Tennessee Lakes,Colorado
West Ute Lake,Colorado
Westerdoll Lake,Colorado
Whale Lake,Colorado
Wheeler Lake,Colorado
Wheeler Lakes,Colorado
Whetstone Reservoir,Colorado
Whetstone Reservoir Number 3,Colorado
White Owl Lake,Colorado
Whiteley Peak Reservoir,Colorado
Whiteley-Nelson Reservoir,Colorado
Whitney Lake,Colorado
Wickstrom Reservoir,Colorado
Wild Horse Lake,Colorado
Wild Horse Reservoir,Colorado
Wildcat Reservoir,Colorado
Wildhorse Reservoir 1,Colorado
Williams Creek Reservoir,Colorado
Williams Fork Reservoir,Colorado
Williams Lake,Colorado
Williams Lakes,Colorado
Williams Reservoir,Colorado
Willis Lake,Colorado
Willow Creek Lake,Colorado
Willow Creek Reservoir,Colorado
Willow Lake,Colorado
Willow Springs Number 1 Reservoir,Colorado
Wilson Reservoir,Colorado
Winchell Lakes,Colorado
Windmill Lake,Colorado
Window Lake,Colorado
Windsor Lake,Colorado
Windsor Reservoir Divide Number 8,Colorado
Windy Gap Lake,Colorado
Winkler Reservoir,Colorado
Wolcott Lake,Colorado
Wolf Reservoir,Colorado
Wolhurst Lake,Colorado
Wolverine Lake,Colorado
Womack Reservoir Number 1,Colorado
Wommer Reservoir Number 1,Colorado
Wonderland Lake,Colorado
Wood Lake,Colorado
Woodland Lake,Colorado
Woodmoor Lake,Colorado
Woods Lake,Colorado
Woods Reservoir,Colorado
Wright-Brink Reservoir,Colorado
Wrights Reservoir,Colorado
Wykert Number 4 Reservoir,Colorado
Wykert Reservoir Number 1,Colorado
Wykert Reservoir Number 2,Colorado
Wyman Reservoir,Colorado
Y and S Reservoir,Colorado
Yankee Doodle Lake,Colorado
Yarmany Reservoir,Colorado
Yellow Lake,Colorado
Youngs Creek Reservoir Number 1,Colorado
Youngs Creek Reservoir Number 3,Colorado
Youngs Creek Reservoirs,Colorado
Youngs Lake,Colorado
Ypsilon Lake,Colorado
YT Reservoir,Colorado
Yule Lakes,Colorado
Zig Zag Reservoir,Colorado
Zimmerman Lake,Colorado
Abbey Lake,Connecticut
Abbott Pond,Connecticut
Acme Pond,Connecticut
Adder Reservoir,Connecticut
Addison Pond,Connecticut
Aldrich Pond,Connecticut
Alexander Lake,Connecticut
Alvia Chase Reservoir,Connecticut
Amos Lake,Connecticut
Amston Lake,Connecticut
Anderson Pond,Connecticut
Andover Lake,Connecticut
Angus Park Pond,Connecticut
Armitage Pond,Connecticut
Arnold Pond,Connecticut
Arnold Ponds,Connecticut
Ashford Lake,Connecticut
Ashland Pond,Connecticut
Aspinook Pond,Connecticut
Asylum Reservoir Number 1,Connecticut
Asylum Reservoir Number 2,Connecticut
Asylum Reservoir Number 3,Connecticut
Attschul Pond,Connecticut
Atwater Pond,Connecticut
Atwood Pond,Connecticut
Atwood Swamp,Connecticut
Auger Pond,Connecticut
Avery Pond,Connecticut
Ayer Pond,Connecticut
Babcock Pond,Connecticut
Baker Pond,Connecticut
Baldwins Pond,Connecticut
Ball Pond,Connecticut
Baltic Reservoir,Connecticut
Banks Pond,Connecticut
Bantam Lake,Connecticut
Barber Pond,Connecticut
Barbers Pond,Connecticut
Barkhamsted Reservoir,Connecticut
Barnes Reservoir,Connecticut
Bartlett Pond,Connecticut
Bashan Lake,Connecticut
Bates Pond,Connecticut
Batterson Park Pond,Connecticut
Beachdale Pond,Connecticut
Beaman Pond,Connecticut
Bear Swamp Pond,Connecticut
Beardsley Pond,Connecticut
Beaupres Pond,Connecticut
Beaver Brook Pond,Connecticut
Beaver Dam Lake,Connecticut
Beaver Pond,Connecticut
Beckley Pond,Connecticut
Beebe Pond,Connecticut
Beeslick Pond,Connecticut
Benedict Pond,Connecticut
Bennett Pond,Connecticut
Bennett Ponds,Connecticut
Beseck Lake,Connecticut
Besse Park Pond,Connecticut
Bevins Pond,Connecticut
Bibbens Pond,Connecticut
Bibbins Pond,Connecticut
Big Lake,Connecticut
Big Meadow Pond,Connecticut
Big Pond,Connecticut
Bigelow Pond,Connecticut
Billings Lake,Connecticut
Bingham Pond,Connecticut
Birch Millpond,Connecticut
Bird Pond,Connecticut
Birge Pond,Connecticut
Bishop Pond,Connecticut
Bishops Pond,Connecticut
Bissonnette Pond,Connecticut
Black Hall Pond,Connecticut
Black Pond,Connecticut
Black Shop Pond,Connecticut
Black Spruce Pond,Connecticut
Bloomfield Reservoir 3A,Connecticut
Bog Meadow Pond,Connecticut
Bog Meadow Reservoir,Connecticut
Boggs Pond,Connecticut
Bogue Brook Reservoir,Connecticut
Bolling Pond,Connecticut
Bolton Lake,Connecticut
Bolton Lakes,Connecticut
Bolton Notch Pond,Connecticut
Bond Pond,Connecticut
Bond Reservoir,Connecticut
Boulder Lake,Connecticut
Bradley Hubbard Reservoir,Connecticut
Bradleys Pond,Connecticut
Bradway Pond,Connecticut
Brandegee Lake,Connecticut
Branford Supply Ponds,Connecticut
Brewster Pond,Connecticut
Brickyard Pond,Connecticut
Bride Lake,Connecticut
Bristol Reservoir Number 1,Connecticut
Bristol Reservoir Number 4,Connecticut
Bristol Reservoir Number Five,Connecticut
Bristol Reservoir Number Three,Connecticut
Bristol Reservoir Number Two,Connecticut
Broad Brook Millpond,Connecticut
Broad Brook Reservoir,Connecticut
Bronson E Rockwell Reservation,Connecticut
Brooks Pond,Connecticut
Brophy Pond,Connecticut
Brousseous Pond,Connecticut
Bruce Pond,Connecticut
Bruce Ponds,Connecticut
Bruces Ice Pond,Connecticut
Bruie Pond,Connecticut
Buckingham Reservoir,Connecticut
Buckland Pond,Connecticut
Buddington Pond,Connecticut
Bull Pond,Connecticut
Burr Pond,Connecticut
Bush Pond,Connecticut
Bushy Hill Pond,Connecticut
Bushy Pond,Connecticut
Butternut Pond,Connecticut
Cady Pond,Connecticut
Caiglo Pond,Connecticut
Camp Pond,Connecticut
Candees Pond,Connecticut
Cannon Pond,Connecticut
Canoe Brook Lake,Connecticut
Carp Pond,Connecticut
Carpenter Pond,Connecticut
Carpenter Road Pond,Connecticut
Carrington Pond,Connecticut
Case Pond Upper,Connecticut
Cast and Blast Pond,Connecticut
Cat Swamp Pond,Connecticut
Cavanaugh Pond,Connecticut
Cedar Lake,Connecticut
Cedar Pond,Connecticut
Cedar Swamp Pond,Connecticut
Chalkers Millpond,Connecticut
Chamberlain Pond,Connecticut
Chanko Pond,Connecticut
Chapins Pond,Connecticut
Chapman Pond,Connecticut
Chapmans Pond,Connecticut
Chase Reservoir,Connecticut
Cheshire Reservoir,Connecticut
Chestnut Hill Reservoir,Connecticut
Chestnut Ridge Reservoir,Connecticut
Chordas Pond,Connecticut
Cider Millpond,Connecticut
City Mills Ponds,Connecticut
Clam River Watershed Reservoir,Connecticut
Clark Pond,Connecticut
Clarks Pond,Connecticut
Clayville Pond,Connecticut
Clear Lake,Connecticut
Clubhouse Pond,Connecticut
Coan Pond,Connecticut
Cogers Pond,Connecticut
Cold Brook Reservoir,Connecticut
Colebrook River Lake,Connecticut
Collins Pond,Connecticut
Collinsville Reservoir,Connecticut
Colony Pond,Connecticut
Colts Pond,Connecticut
Columbia Lake,Connecticut
Coman Pond,Connecticut
Community Lake,Connecticut
Compounce Lake,Connecticut
Comstock Pond,Connecticut
Cone Pond,Connecticut
Congamond Lakes South Pond,Connecticut
Cooks Pond,Connecticut
Cooks Pond (historical),Connecticut
Cooley Lake,Connecticut
Cooley Pond,Connecticut
Corner Pond,Connecticut
Cos Cob Pond,Connecticut
Cote Pond,Connecticut
Cranberry Pond,Connecticut
Cream Hill Lake,Connecticut
Crissey Pond,Connecticut
Crosbys Pond,Connecticut
Crystal Lake,Connecticut
Crystal Pond,Connecticut
Culver Pond,Connecticut
Cunningham Pond,Connecticut
Curtis Pond,Connecticut
Darling Pond,Connecticut
Darrow Pond,Connecticut
Davis Pond,Connecticut
Day Pond,Connecticut
Dayton Pond,Connecticut
Decew Pond,Connecticut
Dee Pond,Connecticut
Deep Hollow Reservoir,Connecticut
Deep Lake,Connecticut
Deep River Reservoir,Connecticut
Deer Lake,Connecticut
Deering Pond,Connecticut
Dennis Pond,Connecticut
Deversky Pond,Connecticut
Diamond Lake,Connecticut
Dickens Pond,Connecticut
Dividend Pond,Connecticut
Doaneville Pond,Connecticut
Dobsonville Pond,Connecticut
Dodge Pond,Connecticut
Doerrs Pond,Connecticut
Dog Pond,Connecticut
Dogwood Pond,Connecticut
Dolphin Pond,Connecticut
Domenicks Pond,Connecticut
Dommericks Pond,Connecticut
Dooley Pond,Connecticut
Doolittle Lake,Connecticut
Doyles Pond,Connecticut
Drobney Pond,Connecticut
Duck Pond,Connecticut
Dudley Pond,Connecticut
Dunham Millpond,Connecticut
Dunham Pond,Connecticut
E A Whitford Pond,Connecticut
Eagleville Pond,Connecticut
East Indies Pond,Connecticut
East Lake Reservoir,Connecticut
East Mountain Reservoir,Connecticut
Easterbrook Pond,Connecticut
Eastman Pond,Connecticut
Easton Reservoir,Connecticut
Eatons Pond,Connecticut
Echo Lake,Connecticut
Eddy Pray Reservoir,Connecticut
Eel Pond,Connecticut
Eely Pond,Connecticut
Ella Fohs Camp Pond,Connecticut
Elmere Reservoir,Connecticut
Ely Pond,Connecticut
Emmons Pond,Connecticut
Enders Pond,Connecticut
Eureka Lake,Connecticut
Evers Pond,Connecticut
Fairview Reservoir,Connecticut
Fairy Lake,Connecticut
Fall Mountain Lake,Connecticut
Farmington Reservoir,Connecticut
Fisher Pond,Connecticut
Fitchville Pond,Connecticut
Fivemile Pond,Connecticut
Florians Pond,Connecticut
Foote Hill Pond,Connecticut
Ford Pond,Connecticut
Foster Pond,Connecticut
Fosters Pond,Connecticut
Fountain Lake Reservoir,Connecticut
Fourteen Acre Pond,Connecticut
Fox Hill Lake,Connecticut
Foxon Pond,Connecticut
Frash Pond,Connecticut
Freshwater Pond,Connecticut
Fricks Pond,Connecticut
Frog Pond,Connecticut
Fuller Pond,Connecticut
Furnace Pond,Connecticut
Gagers Pond,Connecticut
Gale Pond,Connecticut
Game Farm Pond,Connecticut
Gardner Lake,Connecticut
Gates Pond,Connecticut
Gaylord Pond,Connecticut
Ghilds Pond,Connecticut
Ginholt Pond,Connecticut
Glasgo Pond,Connecticut
Glen Lake,Connecticut
Glenville Pond,Connecticut
Globe Hollow Reservoir,Connecticut
Godfrey Pond,Connecticut
Goodwin Pond,Connecticut
Goose Pond,Connecticut
Gorton Pond,Connecticut
Goss Pond,Connecticut
Goulds Pond,Connecticut
Graniss Pond,Connecticut
Grannis Pond,Connecticut
Grass Pond,Connecticut
Graves Pond,Connecticut
Great Brook Reservoir,Connecticut
Great Hill Pond,Connecticut
Great Hill Reservoir,Connecticut
Great Pond,Connecticut
Green Pond,Connecticut
Greystone Pond,Connecticut
Griffins Pond,Connecticut
Griswold Pond,Connecticut
Griswold Reservoir,Connecticut
Gritman Pond,Connecticut
Groton Reservoir,Connecticut
Grupes Reservoir,Connecticut
Guilford Lakes,Connecticut
Gulf Pond,Connecticut
Hackney Pond,Connecticut
Haines Pond,Connecticut
Halchek Pond,Connecticut
Hales Pond,Connecticut
Hallmere Reservoir,Connecticut
Hallocks Pond,Connecticut
Halls Pond,Connecticut
Hallville Pond,Connecticut
Hamlin Pond,Connecticut
Hampton Reservoir,Connecticut
Hancock Brook Lake,Connecticut
Hannon Pond,Connecticut
Hanover Pond,Connecticut
Hanover Reservoir,Connecticut
Hansens Pond,Connecticut
Harakleys Pond,Connecticut
Harmon Pond,Connecticut
Harnett Pond,Connecticut
Hart Pond,Connecticut
Hartford Reservoir Number 3,Connecticut
Hartford Reservoir Number 5,Connecticut
Hartland Pond,Connecticut
Hatch Pond,Connecticut
Hatchaloosie Reservoir,Connecticut
Hattertown Pond,Connecticut
Havens Pond,Connecticut
Haviland Millpond,Connecticut
Hawkins Pond,Connecticut
Hawley Pond,Connecticut
Hayward Pond,Connecticut
Hazel Meadow Pond,Connecticut
Hazen Pond,Connecticut
Hedden Pond,Connecticut
Heminway Pond,Connecticut
Hemlock Reservoir,Connecticut
Herron Pond,Connecticut
Hesseky Meadow Pond,Connecticut
Hidden Lake,Connecticut
Higganum Reservoir,Connecticut
Highland Lake,Connecticut
Hilliards Pond,Connecticut
Hills Pond Number 1,Connecticut
Hitchcock Lake,Connecticut
Hockanum River Reservoir,Connecticut
Hoe Pond,Connecticut
Hog Pond,Connecticut
Holbrook Pond,Connecticut
Hollenbeck Pond,Connecticut
Holly Pond,Connecticut
Holman Pond,Connecticut
Holts Ice Pond,Connecticut
Holy Ghost Fathers Pond,Connecticut
Hop Brook Lake,Connecticut
Horse Pond,Connecticut
Howard Reservoir,Connecticut
Howells Pond,Connecticut
Hubbard Pond,Connecticut
Hulseman Pond,Connecticut
Hummers Pond,Connecticut
Huntington Pond,Connecticut
Hurds Lake,Connecticut
Hurlbut Pond,Connecticut
Hyde Pond,Connecticut
Hydeville Pond,Connecticut
Ice House Pond,Connecticut
Iffland Pond,Connecticut
Indian Hollow Pond,Connecticut
Indian Lake,Connecticut
Indian Pond,Connecticut
Ingham Ponds,Connecticut
Island Brook Lagoon,Connecticut
Ives Pond,Connecticut
Jepp Pond,Connecticut
John D Milne Lake,Connecticut
John Stone Pond,Connecticut
Johns Pond,Connecticut
Johnson Brothers Pond,Connecticut
Johnson Millpond,Connecticut
Johnson Pond,Connecticut
Jones Pond,Connecticut
Jones Street Pond,Connecticut
Kahn Ponds,Connecticut
Keach Pond,Connecticut
Keating Pond,Connecticut
Kelley Pond,Connecticut
Kellogg Pond,Connecticut
Kelly Pond,Connecticut
Kelly Ponds,Connecticut
Kelseys Pond,Connecticut
Kelseytown Reservoir,Connecticut
Kendall Pond,Connecticut
Keney Park Pond,Connecticut
Kenmere Reservoir,Connecticut
Kenyon Pond,Connecticut
Keyboard Pond,Connecticut
Killingly Pond,Connecticut
Killingworth Reservoir,Connecticut
Kimball Pond,Connecticut
King Lake,Connecticut
Kinney Pond,Connecticut
Knowlton Pond,Connecticut
Konolds Pond,Connecticut
Kroopa Pond,Connecticut
LaCourse Pond,Connecticut
Lafayette Pond,Connecticut
Lake Basile,Connecticut
Lake Bethany,Connecticut
Lake Bonair,Connecticut
Lake Chaffee,Connecticut
Lake Chamberlain,Connecticut
Lake Como,Connecticut
Lake Cuheca,Connecticut
Lake Dawson,Connecticut
Lake Elise,Connecticut
Lake Erie,Connecticut
Lake Floren,Connecticut
Lake Forest,Connecticut
Lake Gaillard,Connecticut
Lake Garda,Connecticut
Lake Hammonasset,Connecticut
Lake Harwinton,Connecticut
Lake Hayward,Connecticut
Lake Kenosia,Connecticut
Lake Konomoc,Connecticut
Lake Marguerite,Connecticut
Lake Marie,Connecticut
Lake Mark,Connecticut
Lake Mauweehoo,Connecticut
Lake Mc Donough,Connecticut
Lake Naraneka,Connecticut
Lake Of Isles,Connecticut
Lake Quassapaug,Connecticut
Lake Rippowam,Connecticut
Lake Rockview,Connecticut
Lake Saltonstall,Connecticut
Lake Susan,Connecticut
Lake Terramuggus,Connecticut
Lake Triangle,Connecticut
Lake Waccabuc,Connecticut
Lake Waramaug,Connecticut
Lake Watrous,Connecticut
Lake Wepawaug,Connecticut
Lake Wequapauset,Connecticut
Lake Whitney,Connecticut
Lake Winchester,Connecticut
Lake Windwing,Connecticut
Lake Winnemaug,Connecticut
Lake Wintergreen,Connecticut
Lakeville Reservoir Number 2,Connecticut
Lane Pond,Connecticut
Lantern Hill Pond,Connecticut
Larsens Pond,Connecticut
Laurel Brook Reservoir,Connecticut
Laurel Lake,Connecticut
Leander Pond,Connecticut
Ledyard Reservoir,Connecticut
Leonard Pond,Connecticut
Lidyhites Pond,Connecticut
Lilly Pond,Connecticut
Lily Pond,Connecticut
Limon Pond,Connecticut
Linsley Pond,Connecticut
Lisbon Ice Pond (historical),Connecticut
Lisbon Pond,Connecticut
Litchfield Reservoir,Connecticut
Little Dodge Pond,Connecticut
Little Pond,Connecticut
Little Tracys Pond,Connecticut
Livermore Pond,Connecticut
Lockwood Pond,Connecticut
Long Meadow Pond,Connecticut
Long Pond,Connecticut
Loos Pond,Connecticut
Lorenzo Pond,Connecticut
Lost Pond,Connecticut
Lower Hart Pond,Connecticut
Lower Kohanza Lake,Connecticut
Lower Millpond,Connecticut
