lake,state
Collins Lake,Alabama
Concord Lake,Alabama
Concord Mine Lake,Alabama
Cone Reservoir,Alabama
Conners Lake,Alabama
Constantines Pond,Alabama
Container Corporation Treatment P,Alabama
Cooleys Pond,Alabama
Coopers Lake,Alabama
Coopers Pond,Alabama
Copelands Pond,Alabama
Corbetts Lake,Alabama
Cottonwood Pond,Alabama
Cottrell Lake,Alabama
County Lake,Alabama
Cravey Ponds,Alabama
Craw Pond,Alabama
Crenshaw County Public Lake,Alabama
Crenshaw Pond,Alabama
Crenshaw Ponds,Alabama
Crenshaws Pond,Alabama
Crenshaws Pond Number Two,Alabama
Crescent Lake,Alabama
Crim Lake,Alabama
Crowes Pond,Alabama
Crutch Pond,Alabama
Crystal Lake,Alabama
Culp Lake,Alabama
Cunningham Lake,Alabama
Cunningham Pond,Alabama
Cypress Cutoff Lake,Alabama
Cypress Pond,Alabama
Cypress Swamp,Alabama
D R Stallworth Pond,Alabama
Daisy Falls Lake,Alabama
Dale County Public Lake,Alabama
Dallas County Lake,Alabama
Dan S Hagood Lake,Alabama
Danley Park Lake,Alabama
Daughtry Pond,Alabama
Davis Lake,Alabama
Davis Lake Number Two,Alabama
Davis Pond,Alabama
Dead Lake,Alabama
Dead River,Alabama
Dean Lake,Alabama
Deerwood Lake,Alabama
DeKalb County Public Lake,Alabama
Demopolis Lake,Alabama
Denny Lake,Alabama
Desoto State Park Lake,Alabama
Dickens Pond,Alabama
Dismukes Pond,Alabama
Dobbin Brothers Lake,Alabama
Doc Hollingsworth Lake,Alabama
Doctor Jenkins Lake,Alabama
Doctor Lake,Alabama
Doctor Max McCord Junior Lake,Alabama
Doctor Pattons Lower Lake,Alabama
Doctor Pattons Upper Lake,Alabama
Doctor Vincent Best Pond,Alabama
Doctor Walter Nicholas Lake,Alabama
Dogwood Lake,Alabama
Dollarhide Hunting Lake,Alabama
Dollison Pond,Alabama
Donald Hesselman Lake,Alabama
Donald Lake,Alabama
Donald Smith Lake,Alabama
Donaldson Pond,Alabama
Dorminey Pond,Alabama
Double Oak Lake,Alabama
Doziers Pond,Alabama
Dream Lakes,Alabama
Drennen Lake Number 1,Alabama
Drennen Lake Number 2,Alabama
Driesbach Lake,Alabama
Drummond Lake,Alabama
Duboise Lake,Alabama
Duck Lake,Alabama
Duck Pond,Alabama
Dudleys Lake,Alabama
Duncan Lake,Alabama
Dunlap Lake,Alabama
Dunlaps Lake,Alabama
Dunn Lake,Alabama
Dye Pond,Alabama
Dykes Lake,Alabama
Dykes Pond,Alabama
E Ables Lake,Alabama
E B And S L Payne Lake,Alabama
E F Randell Lake,Alabama
East Lake,Alabama
East Thomas Gardens Lake,Alabama
Easterling Pond,Alabama
Easterlings Pond,Alabama
Echo Lake,Alabama
Ed Pond,Alabama
Edgar Lake,Alabama
Edwards Lake,Alabama
Edwards Pond,Alabama
Edwards Ponds,Alabama
Elam Lake,Alabama
Elba Country Club Lake,Alabama
Elgin Lake,Alabama
Elledge Lake,Alabama
Ellis Lake,Alabama
Ellis Pond,Alabama
Ellis Wise Lake,Alabama
Elmore Lake,Alabama
Emmit Wood Lake,Alabama
Engineering Farm Pond,Alabama
English Pond,Alabama
Ennis Tartt Pond,Alabama
Enon Lake Number One,Alabama
Enon Lake Number Two,Alabama
Ernest L Dyess Pond,Alabama
Estess Lake,Alabama
Etowah Conservation Lake,Alabama
Eva Road Lake,Alabama
Evans Lake,Alabama
Ewart Doughty Lake,Alabama
Ezell Jenkins Lake,Alabama
F H Morgan Lake,Alabama
F N Grant Lake,Alabama
Faulkner Lake,Alabama
Fells Lake,Alabama
Fields Lake,Alabama
Fin and Feather Lake,Alabama
Final Mill Effluent Treatment Pon,Alabama
Fincher Pond,Alabama
Finkleas Lake,Alabama
Finks Lake,Alabama
Fish Pond,Alabama
Fisher Lake,Alabama
Fishers Lake,Alabama
Fishing Lake,Alabama
Fitzpatrick Lake,Alabama
Flag Lake,Alabama
Flat Creek Lake,Alabama
Flat Lake,Alabama
Flat Top Mine Number 1 Impoundment,Alabama
Flint Hill Lake,Alabama
Flowers Lake,Alabama
Flowerwood Nursery Number Three Lake,Alabama
Floyds Lake,Alabama
Forest Ingram Lake,Alabama
Fort Payne City Lake,Alabama
Foshee Lake,Alabama
Fountainhead Lake,Alabama
Four Wing Lake,Alabama
Fowler Lake,Alabama
Fowlers Pond,Alabama
Foxfire Lake,Alabama
Foys Pond,Alabama
Frances K Caine Lake,Alabama
Frank Davis Lake,Alabama
Frank Rutland Lake Number 1,Alabama
Franklin Lake,Alabama
Frazier Lake,Alabama
Freeman Lake,Alabama
Frierson Lake,Alabama
Fultons Lake,Alabama
Fuqua Pond,Alabama
Gallant Lake,Alabama
Gamble Pond,Alabama
Gantt Lake,Alabama
Gantt Millpond,Alabama
Garners Pond,Alabama
Garnette Lake,Alabama
Garret Lake Number 2,Alabama
Garrets Lake,Alabama
Garrett Lake Number 1,Alabama
Gaston Lake,Alabama
Gaston Lake Two,Alabama
Gator Lake,Alabama
Gault Lake,Alabama
Gavin Lake,Alabama
Geneva County Lake,Alabama
George Lake,Alabama
Gibson Lake,Alabama
Gilbert Thomas Lake,Alabama
Gilberts Lake,Alabama
Gilland Lake,Alabama
"Gizella, Lake",Alabama
Glass Lake Number One,Alabama
Glassco Lake,Alabama
"Glen, Lake",Alabama
Glenn Lawrence Lake,Alabama
Gnat Pond,Alabama
Golden Lake,Alabama
Good Hope Farm Pond,Alabama
Goodner Lake,Alabama
Goodson Pond,Alabama
Goodyear Lake,Alabama
Goose Pond,Alabama
Grady Lake,Alabama
Grant Lake,Alabama
Grays Lake,Alabama
Great Pine Lake,Alabama
Green Acres Lake,Alabama
Green Lake,Alabama
Green Lakes,Alabama
Green Valley Farm Ponds,Alabama
Griffin Lakes,Alabama
Griffin Pond,Alabama
Griffith Lake,Alabama
Griggs Pond,Alabama
Grinlin Lake,Alabama
Groce Lake,Alabama
Gross Lake,Alabama
Gulf States Columbiana SW Lake,Alabama
Gum Pond,Alabama
Gunters Pond,Alabama
Guntersville Lake,Alabama
Guys Pond,Alabama
Guytons Lake,Alabama
H G Quinnelly Lake,Alabama
Hale Lake,Alabama
Haleyville City Lake,Alabama
Hall Lake,Alabama
Hallmark Lake,Alabama
Halls Lake,Alabama
Halls Pond,Alabama
Hames Lake,Alabama
Hamilton Lake,Alabama
Hamiltons Lake,Alabama
Hammermill Waste Treatment Pond,Alabama
Hammond Lake,Alabama
Hammond Pond,Alabama
Hanna Pond,Alabama
Hannah Lake,Alabama
Harbert Lake,Alabama
Hardy Lake Number 1,Alabama
Hargis Lake,Alabama
Harkins Lake,Alabama
Harless Lake,Alabama
Harper Lake,Alabama
Harper Pond,Alabama
Harpersville Lake Number 1,Alabama
Harpersville Lake Number 2,Alabama
Harrell Lake,Alabama
Harrells Lake One,Alabama
Harrelson Pond,Alabama
Hart Lake,Alabama
Hartleys Pond,Alabama
Hartzog Pond,Alabama
Hatchetigbee Lake,Alabama
Hatters Pond,Alabama
Haw Pond,Alabama
Hayes Lake,Alabama
Hazerig Farm Lake,Alabama
Hazerig Small Pond,Alabama
Hazerig Upper Pond,Alabama
Heads Pond,Alabama
Heath Lake,Alabama
Hellcat Lake,Alabama
Helms Pond,Alabama
Henderson Lake,Alabama
Hendricks Lake,Alabama
Herring Lake,Alabama
Hickman Lake,Alabama
Hidden Valley Lake,Alabama
Higginbothams Lake,Alabama
Higgins Lake,Alabama
High Pine Creek Lake Number 10,Alabama
High Pine Creek Lake Number 2,Alabama
High Pine Creek Lake Number 4,Alabama
High Pine Creek Lake Number 5,Alabama
High Pine Lake Number 11,Alabama
Highland Lake,Alabama
Hill Lake,Alabama
Hill Lake Number Two,Alabama
Hill Pond,Alabama
Hillcrest Pond,Alabama
Hillcrest Ponds,Alabama
Hilldale Farm Lake,Alabama
Hillhouse Lake,Alabama
Hillman Pond,Alabama
Hills Lake,Alabama
Hilton Mckee Lake,Alabama
Hines Lake,Alabama
Hobbie Lee Lake,Alabama
Hodge Lake,Alabama
Hoff Pond,Alabama
Holcomb Lake,Alabama
Holley Pond,Alabama
Hollybrook Lake,Alabama
Holtzclaw Lake,Alabama
Hooks Lake,Alabama
Hoover Lake,Alabama
Hornes Lakes,Alabama
Horselot Pond,Alabama
Horseshoe Lake,Alabama
Houses Lake,Alabama
Howards Pond,Alabama
Howell Pond,Alabama
Hubbards Lake,Alabama
Huckabaa Pond,Alabama
Hudgens Pond,Alabama
Hudson Lake,Alabama
Huffmans Pond,Alabama
Hull Lake,Alabama
Hurricane Creek Watershed Lake,Alabama
Hutto Pond,Alabama
Hyde Lake,Alabama
Idlewild Lake,Alabama
Indian Estates Lake,Alabama
Indian Hills Lake,Alabama
Indian Lake,Alabama
Indian Spring Lake,Alabama
Indian Valley Camp Lake,Alabama
Indian Valley Lake,Alabama
Ingram Arkadelphia Lake,Alabama
Ingram Lake,Alabama
Ingram Pond,Alabama
Inland Lake,Alabama
J D Phillips Lake,Alabama
J E Robinson Lake,Alabama
J Friday Number 1 Lake,Alabama
J L Crenshaw Lake Number One,Alabama
J L Morrison Lake Number Two,Alabama
J M Roberts Pond,Alabama
J R Paul Lake,Alabama
J S Sommerville Lake,Alabama
Jacksons Pond,Alabama
Jacobs Swamp,Alabama
James Crooks Lake,Alabama
Jay Lake,Alabama
Jeff Beards Lake,Alabama
Jernegans Pond,Alabama
Jernigan Dead River,Alabama
Jernigan Lake,Alabama
Jessie Forrester Lake,Alabama
Jim Adams Lake,Alabama
Jim Henderson Lake,Alabama
Jim Oliver Pond,Alabama
Jimmy Johnston Lake,Alabama
Jimmy Seale Lake,Alabama
Joe Dozier Lake,Alabama
Joe Glover Lake,Alabama
Joe Harrison Lake,Alabama
John Green Pond,Alabama
John Jays Lake,Alabama
Johnson Lake,Alabama
Johnsons Lake,Alabama
Johnsons Pond,Alabama
Johnstons Lake,Alabama
Johnstons Lake Number Three,Alabama
Jones Lake,Alabama
Jordan Lake,Alabama
Judges Pond,Alabama
Jug Hollow Lake,Alabama
Justins Bay,Alabama
Kasmeier Pond,Alabama
Kauls Lake,Alabama
Keaton Lake,Alabama
"Keego, Lake",Alabama
Kelley Pond,Alabama
Kelly Lake,Alabama
Kelly Pond Number Two,Alabama
Kellys Lake,Alabama
Kerscoha Lake,Alabama
Ketona Lakes,Alabama
Killough Lake,Alabama
Kilpatrick Lake,Alabama
Kilpatrick Pond,Alabama
Kimberly Clark Paper Company Lake,Alabama
Kimberly-Clark Lake,Alabama
Kimbrells Lake South,Alabama
Kimbrough Lake,Alabama
King Lake,Alabama
Kinnett Lake,Alabama
Kirksey Lake,Alabama
Kites Pond,Alabama
Knights Lake,Alabama
Kyser Lakes,Alabama
L Pond,Alabama
Lacey Lake Number 2,Alabama
Laceys Lake Number One,Alabama
Lafayette Reservoir,Alabama
Lake Ada,Alabama
Lake Arnedra,Alabama
Lake Arthur,Alabama
