st2,NAME,lake,lat,lon
VI,St. Croix,Southgate Pond,17.7588497768285,-64.6644296559667
VI,St. John,Salt Pond,18.3077252720507,-64.7038466488969
VI,St. Croix,Fredensborg Pond,17.7350672817906,-64.7888554876977
VI,St. John,Salt Water,18.3622714507695,-64.719738648616
VI,St. John,Small Pond,18.3279762918437,-64.7976696302639
VI,St. Croix,West End Salt Pond,17.6893604808608,-64.8910600922355
