st2,NAME,lake,lat,lon
WV,Wyoming,Number 50 Earthfill Impoundment,37.5344924315692,-81.5235735921511
WV,Wyoming,Joes Branch Refuse Impoundment,37.5637262783747,-81.4540061959964
WV,Wayne,Asbury Lake,37.9504857957263,-82.4005697447177
WV,Mingo,Cotigo Lake,37.8332606773827,-82.2573282311274
WV,Raleigh,Lower Big Branch Refuse Impoundment,37.9256358967457,-81.5547252766545
WV,McDowell,Keystone Refuse Impoundment,37.4234101713734,-81.4531683450839
WV,McDowell,Pageton Refuse Impoundment,37.3502918308695,-81.4674446204138
WV,Preston,Chippewa Lake,39.5160286959454,-79.7000200348674
WV,Mercer,Bluewell Dam Number One,37.3039990802501,-81.2505929078953
WV,Mercer,Bluewell Dam Number Two,37.3098379985121,-81.247056056733
WV,Preston,Town of Masontown Water Supply Dam Lake,39.5483493939074,-79.8191895114249
WV,Jackson,Hutchison Lake,38.8250399656663,-81.7710049966764
WV,Clay,Horsehead Lake,38.3541958682641,-81.2476248263083
WV,Hancock,Cherry Lake,40.5260493375569,-80.5943319777963
WV,Preston,Bruceton Mills Lake,39.6670190994516,-79.6352484489224
WV,Barbour,McCoy Lake,39.0830727171885,-80.1063892442987
WV,Lewis,Jacksons Mill Lake,39.0915743843097,-80.4595593870225
WV,Clay,Henderson Lake,38.367994150386,-81.1543280591288
WV,Monroe,Moncove Lake,37.6197733135713,-80.3495701223316
WV,Marion,Little Dents Run Reservoir,39.5347119783095,-80.3674912336554
WV,Fayette,Coal Run,37.9848220052826,-81.0539966827115
WV,Logan,Slagle Impoundment,37.8053949355778,-81.8336204368319
WV,Lewis,Dry Fork Lake,39.0561178654785,-80.539731971087
WV,Jackson,Big Horse Lake,38.797879790578,-81.7567603928315
WV,Marion,Eastern Gas and Fuel Lake,39.5640809429449,-80.1652964091962
WV,Marion,Green Lakes,39.5833938459979,-80.14990996727
WV,Mason,Pond Number Nine,38.9077623355725,-82.0673615244763
WV,Mason,McClintic Pond Number 16,38.9306553040064,-82.0879903980136
WV,Mason,McClintic Pond Number 23,38.899046369584,-82.0952520036054
WV,Mason,McClintic Pond Number 11,38.9148538412878,-82.0635531601192
WV,Mason,McClintic Pond Number 7A,38.912727115355,-82.0647998325825
WV,Mason,McClintic Pond Number 7B,38.9107178129777,-82.0651154532414
WV,Monongalia,Strawn Lake,39.5218348564451,-79.8946763353727
WV,Upshur,The Fishpond,38.8520680007934,-80.3111878229793
WV,Roane,Silcott Lake,38.6753013271198,-81.3978245876407
WV,Hardy,Thorn Bottom Pond,38.9709830262176,-78.7387313392846
WV,Ohio,Upper Schenk Lake,40.1012415745367,-80.6651239417924
WV,Raleigh,Beckley Water Supply Number Two Lake,37.670394256647,-81.0698766319237
WV,Raleigh,Glade Creek Reservoir,37.6919710539651,-81.0529243371124
WV,Fayette,Boley Lake,37.9755060754512,-80.9531845198253
WV,Wayne,East Lynn Lake,38.1095590455395,-82.3565992517884
WV,Wyoming,R. D. Bailey Lake,37.6080832444227,-81.8009638049902
WV,Wood,Woodridge Lake,39.1705730227213,-81.5246103722212
WV,Ohio,Millcrest Farm Pond,40.075643501287,-80.5601272354723
WV,Brooke,Castleman Run Lake,40.1662597371196,-80.5340921685954
WV,Jackson,O'Brien Lake,38.7485389062411,-81.6279539408492
WV,Cabell,Hatfield Lake,38.3820729269261,-82.2317560903276
WV,Berkeley,Walden Pond,39.5755469409626,-78.0935296258063
WV,Kanawha,Indian Lake,38.3971576048842,-81.485441209415
WV,Roane,Oldham Lake,38.6231742900596,-81.3013585479335
WV,Pocahontas,Handley Pond,38.314043847266,-80.1882059070764
WV,Marion,Dent's Run Reservoir on Buffalo Creek,39.5491130074608,-80.3870219864352
