NAME,lake,st2,lat,lon,area
Ripley,Avon Gibson Lake,MO,36.5028740537274,-90.9284098470438,0.0410944910933271
Stone,Table Rock Lake,MO,36.6034926799942,-93.4583154340874,158.720498818484
St. Charles,Airport Lake,MO,38.9531690420693,-90.4487062934755,0.0920296031818051
St. Charles,Long Lake,MO,38.9548029103661,-90.4148286940989,0.271156451462805
Ralls,Lock No. 22,MO,39.6356619922524,-91.2490173549743,0.00689904950215884
Lincoln,Lock No. 25,MO,39.0031084360299,-90.6892414695034,0.00694827218079619
Buchanan,Browning Lake,MO,39.7643377146005,-94.9154827738918,1.27756781543387
Buchanan,Lewis and Clark Lake,MO,39.5404316033589,-95.0585225647106,1.60676070945235
Platte,Bean Lake,MO,39.4849740006393,-95.0173751049595,1.78374909051112
Barton,Mayo Lake,MO,37.5844225259639,-94.4091632413748,0.113904274728393
Platte,Berlin Reservoir,MO,39.3077450581332,-94.7126456015961,0.247364231778017
St. Louis,Jefferson Lake,MO,38.6347589215082,-90.2691503441362,0.0333383314879143
St. Louis,Creve Coeur Lake,MO,38.7174290462648,-90.4843725368701,1.2599513371581
Johnson,Sky Haven Lake,MO,38.7791033325118,-93.8055312059381,0.0515224315678829
St. Louis,Bowl Lake,MO,38.6314960181342,-90.2683814756159,0.00928263925006552
St. Louis,Round Lake,MO,38.6415303834217,-90.2701208819208,0.00588400261909275
St. Louis,Corley Lake (next to Corley Manor),MO,38.6442679183661,-90.2713913238918,0.00490729099631535
St. Louis,Post-Dispatch Lake,MO,38.6397941688896,-90.2877618708184,0.0570398366667862
St. Louis,Children's Pond,MO,38.4701530197585,-90.3931910140209,0.000531879723791265
St. Louis,Rearing Pond,MO,38.4737195145432,-90.3925064956637,0.00671454071863844
St. Louis,Carp Lake,MO,38.4709939225155,-90.3915267433677,0.00712546217897034
St. Louis,Island Lake,MO,38.4713147247606,-90.3933332648364,0.0204927487123069
St. Louis,Simpson Park Lake,MO,38.5570849631681,-90.4686133372971,0.295910950995987
St. Louis,Walker Lake,MO,38.580371238884,-90.4182997469797,0.00871514216911355
St. Louis,Circular Fountain,MO,38.5972933647371,-90.2232935543009,0.000922512997389791
St. Louis,Benton Park Lake,MO,38.5975533383157,-90.22160726219,0.00415536781067706
Jefferson,Fon-Du-Lac Reservoir,MO,38.4888053447723,-90.471437940715,0.108008237034361
Reynolds,Clearwater Lake,MO,37.158861663002,-90.7841006011035,7.11254570928122
St. Louis,Willmore Park Lake 1,MO,38.5731015810552,-90.3034867330395,0.00531060991932274
St. Louis,Willmore Park Lake 2,MO,38.5699527734771,-90.2989613713822,0.0182625357207119
St. Louis,Fairground Park Lake,MO,38.6670150736875,-90.2242457335615,0.043397656688274
St. Louis,O'Fallon Park Lake,MO,38.6787365950866,-90.2206962268824,0.0199058368707714
St. Louis,South Pond,MO,38.6223310914417,-90.1869152262843,0.00651634807187807
St. Louis,Unger County Park Lake,MO,38.5556413846019,-90.4429799704941,0.107212581292613
Jackson,Lake Tapawingo,MO,39.0195480497611,-94.3132238982776,0.345406312089516
Jackson,Blue Springs Lake,MO,39.0040991837232,-94.3260115090558,2.96583705408826
Jackson,Prairie Lee Lake,MO,38.9401784394094,-94.3303820417215,0.578158667351799
Jackson,Longview Lake,MO,38.9059705899762,-94.4714287329802,3.80915489502654
Cass,Lake Winnebago,MO,38.8271808493036,-94.3618406846611,1.0706769471405
Cass,Raintree Lake,MO,38.8357343377931,-94.3898374542748,0.886059076278465
St. Louis,Presler Lake,MO,38.5289370435202,-90.457083319931,0.0192824603006155
St. Louis,Fienup Lake,MO,38.6582327667399,-90.6048615648669,0.0997556007017961
St. Clair,Spring Lake,MO,38.0188423418902,-93.8348448877436,0.0653220977088314
Adair,Forest Lake,MO,40.1769337690646,-92.6442968868382,2.33798894068154
St. Louis,Vlasis Pond 1,MO,38.5950154789903,-90.5385218132316,0.00278154949667117
St. Louis,Vlasis Pond 2,MO,38.5943022641622,-90.5385014115723,0.00136731061086317
St. Louis,Lake Chesterfield,MO,38.580002276161,-90.6106599705817,0.060920470702435
Barton,Lawless Lake,MO,37.4334135643036,-94.3062162367481,0.120173165287829
St. Louis,Wildhorse Lake,MO,38.657909284711,-90.5722559058718,0.0484691172574186
St. Louis,Arrowhead Estates Lower Lake,MO,38.6673328998822,-90.5501663850772,0.0131005992694471
Pettis,Number 130 Reservoir,MO,38.5980780046978,-93.3023745027853,0.0938371021321745
Pettis,Lake Tebo,MO,38.6044832846151,-93.2881006861139,0.227775751601263
Lafayette,Lafayette A-23 Lake,MO,39.1982900918956,-93.7236412871915,0.0692243184861952
Lafayette,Maple Leaf Lake,MO,38.9925980172677,-93.7820356560686,0.546257731826748
Lafayette,East Silt Basin,MO,38.99730959699,-93.7721701269105,0.0163078684884065
Lafayette,West Silt Basin,MO,38.9936145674823,-93.7945529899391,0.0289874717594988
Lafayette,Spillway Pond,MO,38.9860422834097,-93.7828993952211,0.0197141445575843
Jackson,Caraway Lake,MO,39.0327892473644,-94.1265078795676,0.0228362143439269
Lafayette,Sunshine Lake,MO,39.1855948177295,-93.9644381025233,1.73953030651326
St. Louis,Baxter Lake,MO,38.6381758061825,-90.5579167664962,0.00651591891263804
Jackson,Little Blue River Lakes,MO,38.9060771954168,-94.4713193535971,3.78491137046525
Cass,Creekmoor Lake,MO,38.8372063050346,-94.4672590187744,0.418831176156873
Bates,Deer Creek Lake,MO,38.4001689783471,-94.3343092800462,0.104790123297371
Bates,Adrian Reservoir,MO,38.3886335028092,-94.3363444137587,0.200667149202127
